Lark_ID,firstInterval,firstDet,Field_ID,unique_ID,Survey_Event_ID,Observer,surveyEvent,Survey_Date,Visit,Survey_Time,Temp,Sky_Code,Site_Comments,Number_Detected,Individual_ID,Sex,Age,Distance_1,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Min_9,Min_10,Min_11,Min_12,Notes,LatUTM,LongUTM,UTM_X,UTM_Y,Count_Date,Start_Time,Site_ID,Interval_1,Interval_2,Interval_3,Interval_4,Interval_5,Interval_6,Interval_7,Interval_8,Interval_9,Interval_10,Interval_11,Interval_12,dayOfYear,surveyYear,sunrise,mas
924,1,Singing,25_1397-1,1397,760,GRH,2025,5/21/2025,1,07:56:00,49,Clear,Heard M from last point skylarking behind me,2,2,Male,Adult,393,S,S,S,X,X,X,X,S,S,X,X,X,NA,NA,NA,475327.5,4987807.5,2025-05-21,7H 56M 0S,1397,Singing,Singing,Singing,NA,NA,NA,NA,Singing,Singing,NA,NA,NA,141,2025,2025-05-21T12:40:40Z,136
925,4,Singing,25_1577-1,1577,761,GRH,2025,5/21/2025,1,07:39:00,46,Clear,NOHA fly-through,1,1,Male,Adult,298,X,X,X,S,S,S,S,S,X,X,X,X,NA,NA,NA,474015.37,4988462.5,2025-05-21,7H 39M 0S,1577,NA,NA,NA,Singing,Singing,Singing,Singing,Singing,NA,NA,NA,NA,141,2025,2025-05-21T12:40:40Z,119
926,6,Singing,25_3815-1,3815,758,GRH,2025,5/21/2025,1,08:39:00,51,Clear,NA,1,1,Male,Adult,361,X,X,X,X,X,S,S,X,S,X,X,X,NA,NA,NA,478448.56,4987703.5,2025-05-21,8H 39M 0S,3815,NA,NA,NA,NA,NA,Singing,Singing,NA,Singing,NA,NA,NA,141,2025,2025-05-21T12:40:40Z,179
927,4,Singing,25_3915-1,3915,759,GRH,2025,5/21/2025,1,08:16:00,50,Clear,NA,3,1,Male,Adult,178,X,X,X,S,V,V,X,X,X,X,X,X,NA,NA,NA,475972,4987670.5,2025-05-21,8H 16M 0S,3915,NA,NA,NA,Singing,Visual,Visual,NA,NA,NA,NA,NA,NA,141,2025,2025-05-21T12:40:40Z,156.00000000000003
928,5,Visual,25_3915-1,3915,759,GRH,2025,5/21/2025,1,08:16:00,50,Clear,NA,3,2,Male,Adult,178,X,X,X,X,V,V,X,X,X,X,X,X,NA,NA,NA,475972,4987670.5,2025-05-21,8H 16M 0S,3915,NA,NA,NA,NA,Visual,Visual,NA,NA,NA,NA,NA,NA,141,2025,2025-05-21T12:40:40Z,156.00000000000003
929,4,Visual,25_3915-1,3915,759,GRH,2025,5/21/2025,1,08:16:00,50,Clear,NA,3,3,Unknown,Adult,169,X,X,X,V,X,X,X,X,X,X,X,X,NA,NA,NA,475972,4987670.5,2025-05-21,8H 16M 0S,3915,NA,NA,NA,Visual,NA,NA,NA,NA,NA,NA,NA,NA,141,2025,2025-05-21T12:40:40Z,156.00000000000003
930,8,Singing,25_2686-1,2686,756,GRH,2025,5/21/2025,1,09:25:00,54,Clear,NA,1,1,Male,Adult,181,X,X,X,X,X,X,X,S,S,S,S,S,NA,NA,NA,483579.4,4990291,2025-05-21,9H 25M 0S,2686,NA,NA,NA,NA,NA,NA,NA,Singing,Singing,Singing,Singing,Singing,141,2025,2025-05-21T12:40:40Z,224.99999999999994
931,1,Visual,25_1382-1,1382,770,CWW,2025,5/22/2025,1,09:08:00,47,Drizzle,Harrier hunting area. Young pea field,2,1,Male,Adult,31,V,V,V,V,V,V,V,V,V,V,V,X,NA,NA,NA,496755.62,4929558.5,2025-05-22,9H 8M 0S,1382,Visual,Visual,Visual,Visual,Visual,Visual,Visual,Visual,Visual,Visual,Visual,NA,142,2025,2025-05-22T12:39:47Z,208.99999999999994
932,8,Singing,25_1382-1,1382,770,CWW,2025,5/22/2025,1,09:08:00,47,Drizzle,Harrier hunting area. Young pea field,2,2,Male,Adult,240,X,X,X,X,X,X,X,S,S,S,V,V,NA,NA,NA,496755.62,4929558.5,2025-05-22,9H 8M 0S,1382,NA,NA,NA,NA,NA,NA,NA,Singing,Singing,Singing,Visual,Visual,142,2025,2025-05-22T12:39:47Z,208.99999999999994
936,2,Singing,25_5804-1,5804,771,CWW,2025,5/22/2025,1,09:44:00,48,Mostly cloudy,"Young peas, same field as previous detection. Possibly individual 2 from that survey (unlikely - 1.5km away)",1,1,Male,Adult,250,X,S,X,X,X,X,X,X,X,X,X,X,NA,NA,NA,497399.37,4927954,2025-05-22,9H 44M 0S,5804,NA,Singing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,2025,2025-05-22T12:39:47Z,244.99999999999994
937,1,Singing,25_3004-1,3004,784,CWW,2025,6/10/2025,1,08:10:00,58,Clear,"Peas and radishes. Individual 2 was visually detected while skylarking, very distant, too far to hear",2,1,Male,Adult,41,S,X,X,X,X,X,X,X,X,X,S,X,NA,NA,NA,496111.21,4930863,2025-06-10,8H 10M 0S,3004,Singing,NA,NA,NA,NA,NA,NA,NA,NA,NA,Singing,NA,161,2025,2025-06-10T12:29:34Z,160.99999999999997
938,8,Visual,25_3004-1,3004,784,CWW,2025,6/10/2025,1,08:10:00,58,Clear,"Peas and radishes. Individual 2 was visually detected while skylarking, very distant, too far to hear",2,2,Male,Adult,700,X,X,X,X,X,X,X,V,X,X,X,X,NA,NA,NA,496111.21,4930863,2025-06-10,8H 10M 0S,3004,NA,NA,NA,NA,NA,NA,NA,Visual,NA,NA,NA,NA,161,2025,2025-06-10T12:29:34Z,160.99999999999997
939,2,Singing,25_2759-1,2759,811,GRH,2025,6/6/2025,1,07:00:00,57,Clear,only heard once in gap in traffic,1,1,Male,Adult,188,X,S,X,X,X,X,X,X,X,X,X,X,NA,NA,NA,517700.84,5009230,2025-06-06,7H 0M 0S,2759,NA,Singing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,2025,2025-06-06T12:30:38Z,90
940,1,Singing,25_1992-1,1992,812,GRH,2025,6/6/2025,1,06:39:00,56,Clear,"Lark was over hill, out of view/rangefinder LOS",1,1,Male,Adult,160,S,S,S,S,X,X,X,X,X,X,X,S,NA,NA,NA,500298.28,4928541.5,2025-06-06,6H 39M 0S,1992,Singing,Singing,Singing,Singing,NA,NA,NA,NA,NA,NA,NA,Singing,157,2025,2025-06-06T12:30:38Z,69.00000000000003
941,6,Singing,25_1356-1,1356,814,GRH,2025,6/6/2025,1,05:49:00,54,Partly cloudy,"Realizing that corn is just a very large, mutated grass. Male skylarking, watched climb, didn't see takeoff pt, rest seen aerially as well",4,1,Male,Adult,268,X,X,X,X,X,S,X,S,S,X,S,S,NA,NA,NA,492043.46,4923810,2025-06-06,5H 49M 0S,1356,NA,NA,NA,NA,NA,Singing,NA,Singing,Singing,NA,Singing,Singing,157,2025,2025-06-06T12:30:38Z,18.999999999999986
942,10,Visual,25_1356-1,1356,814,GRH,2025,6/6/2025,1,05:49:00,54,Partly cloudy,"Realizing that corn is just a very large, mutated grass. Male skylarking, watched climb, didn't see takeoff pt, rest seen aerially as well",4,2,Unknown,Adult,540,X,X,X,X,X,X,X,X,X,V,V,X,NA,NA,NA,492043.46,4923810,2025-06-06,5H 49M 0S,1356,NA,NA,NA,NA,NA,NA,NA,NA,NA,Visual,Visual,NA,157,2025,2025-06-06T12:30:38Z,18.999999999999986
943,10,Visual,25_1356-1,1356,814,GRH,2025,6/6/2025,1,05:49:00,54,Partly cloudy,"Realizing that corn is just a very large, mutated grass. Male skylarking, watched climb, didn't see takeoff pt, rest seen aerially as well",4,3,Unknown,Adult,540,X,X,X,X,X,X,X,X,X,V,X,X,NA,NA,NA,492043.46,4923810,2025-06-06,5H 49M 0S,1356,NA,NA,NA,NA,NA,NA,NA,NA,NA,Visual,NA,NA,157,2025,2025-06-06T12:30:38Z,18.999999999999986
944,10,Visual,25_1356-1,1356,814,GRH,2025,6/6/2025,1,05:49:00,54,Partly cloudy,"Realizing that corn is just a very large, mutated grass. Male skylarking, watched climb, didn't see takeoff pt, rest seen aerially as well",4,4,Unknown,Adult,540,X,X,X,X,X,X,X,X,X,V,X,X,NA,NA,NA,492043.46,4923810,2025-06-06,5H 49M 0S,1356,NA,NA,NA,NA,NA,NA,NA,NA,NA,Visual,NA,NA,157,2025,2025-06-06T12:30:38Z,18.999999999999986
945,1,Singing,25_671-1,671,815,GRH,2025,6/6/2025,1,05:29:00,54,Partly cloudy,NA,3,1,Male,Adult,323,S,S,S,S,S,S,S,S,S,S,S,S,NA,NA,NA,493670.65,4927303.5,2025-06-06,5H 29M 0S,671,Singing,Singing,Singing,Singing,Singing,Singing,Singing,Singing,Singing,Singing,Singing,Singing,157,2025,2025-06-06T12:30:38Z,-0.9999999999999964
946,2,Singing,25_671-1,671,815,GRH,2025,6/6/2025,1,05:29:00,54,Partly cloudy,NA,3,2,Male,Adult,154,X,S,S,S,S,S,S,S,X,S,X,X,NA,NA,NA,493670.65,4927303.5,2025-06-06,5H 29M 0S,671,NA,Singing,Singing,Singing,Singing,Singing,Singing,Singing,NA,Singing,NA,NA,157,2025,2025-06-06T12:30:38Z,-0.9999999999999964
947,7,Singing,25_671-1,671,815,GRH,2025,6/6/2025,1,05:29:00,54,Partly cloudy,NA,3,3,Male,Adult,303,X,X,X,X,X,X,S,S,S,S,S,X,NA,NA,NA,493670.65,4927303.5,2025-06-06,5H 29M 0S,671,NA,NA,NA,NA,NA,NA,Singing,Singing,Singing,Singing,Singing,NA,157,2025,2025-06-06T12:30:38Z,-0.9999999999999964
948,5,Singing,25_4981-1,4981,820,GRH,2025,6/5/2025,1,08:23:00,55,Mostly cloudy,NA,1,1,Male,Adult,NA,X,X,X,X,S,X,X,X,X,X,X,X,NA,NA,NA,504400.46,4913563,2025-06-05,8H 23M 0S,4981,NA,NA,NA,NA,Singing,NA,NA,NA,NA,NA,NA,NA,156,2025,2025-06-05T12:30:59Z,172.99999999999997
949,9,Singing,25_5774-1,5774,822,GRH,2025,6/5/2025,1,07:24:00,54,Mostly cloudy,NA,1,1,Male,Adult,131,X,X,X,X,X,X,X,X,S,X,X,X,NA,NA,NA,494534.65,4896995.5,2025-06-05,7H 24M 0S,5774,NA,NA,NA,NA,NA,NA,NA,NA,Singing,NA,NA,NA,156,2025,2025-06-05T12:30:59Z,114.00000000000003
950,1,Singing,25_1074-1,1074,826,GRH,2025,6/5/2025,1,05:40:00,51,Mostly cloudy,NA,2,1,Male,Adult,186,S,S,S,X,X,X,X,X,X,X,X,X,NA,NA,NA,487118.46,4900696.5,2025-06-05,5H 40M 0S,1074,Singing,Singing,Singing,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,2025,2025-06-05T12:30:59Z,10.000000000000018
951,1,Singing,25_1074-1,1074,826,GRH,2025,6/5/2025,1,05:40:00,51,Mostly cloudy,NA,2,2,Male,Adult,161,S,S,X,X,X,X,X,X,X,X,X,S,NA,NA,NA,487118.46,4900696.5,2025-06-05,5H 40M 0S,1074,Singing,Singing,NA,NA,NA,NA,NA,NA,NA,NA,NA,Singing,156,2025,2025-06-05T12:30:59Z,10.000000000000018
952,1,Visual,25_1102-1,1102,831,GRH,2025,6/4/2025,1,08:15:00,57,Mostly cloudy,"F nest material carry, I think into clover field to W of point",2,1,Male,Adult,55,V,V,V,V,V,V,V,X,X,X,X,X,NA,NA,NA,490349.4,4916223,2025-06-04,8H 15M 0S,1102,Visual,Visual,Visual,Visual,Visual,Visual,Visual,NA,NA,NA,NA,NA,155,2025,2025-06-04T12:31:23Z,164
953,1,Visual,25_1102-1,1102,831,GRH,2025,6/4/2025,1,08:15:00,57,Mostly cloudy,"F nest material carry, I think into clover field to W of point",2,2,Female,Adult,53,V,V,V,V,V,V,V,V,X,X,X,X,NA,NA,NA,490349.4,4916223,2025-06-04,8H 15M 0S,1102,Visual,Visual,Visual,Visual,Visual,Visual,Visual,Visual,NA,NA,NA,NA,155,2025,2025-06-04T12:31:23Z,164
954,1,Singing,25_1673-1,1673,832,GRH,2025,6/4/2025,1,07:55:00,57,Mostly cloudy,"Both detections in very different directions, seperating individuals",2,1,Male,Adult,263,S,X,X,X,X,X,X,X,X,X,X,X,NA,NA,NA,489787.21,4916503,2025-06-04,7H 55M 0S,1673,Singing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,2025,2025-06-04T12:31:23Z,144.00000000000003
955,6,Singing,25_1673-1,1673,832,GRH,2025,6/4/2025,1,07:55:00,57,Mostly cloudy,"Both detections in very different directions, seperating individuals",2,2,Male,Adult,278,X,X,X,X,X,S,X,X,X,X,X,X,NA,NA,NA,489787.21,4916503,2025-06-04,7H 55M 0S,1673,NA,NA,NA,NA,NA,Singing,NA,NA,NA,NA,NA,NA,155,2025,2025-06-04T12:31:23Z,144.00000000000003
956,4,Singing,25_1725-1,1725,837,GRH,2025,6/4/2025,1,06:09:00,55,Mostly cloudy,"Incessant dog, stopped at minute 5. Excellent WV lark habitat",1,1,Male,Adult,356,X,X,X,S,X,S,X,X,X,X,X,X,NA,NA,NA,485853.87,4921965.5,2025-06-04,6H 9M 0S,1725,NA,NA,NA,Singing,NA,Singing,NA,NA,NA,NA,NA,NA,155,2025,2025-06-04T12:31:23Z,38.00000000000003
957,1,Singing,25_3719-1,3719,840,CWW,2025,6/12/2025,1,05:50:00,45,Clear,pulloff on loud highway,2,1,Male,Adult,70,S,S,S,S,X,X,X,X,X,S,S,S,NA,NA,NA,479172.68,4977249,2025-06-12,5H 50M 0S,3719,Singing,Singing,Singing,Singing,NA,NA,NA,NA,NA,Singing,Singing,Singing,163,2025,2025-06-12T12:29:15Z,20.99999999999998
958,4,Singing,25_3719-1,3719,840,CWW,2025,6/12/2025,1,05:50:00,45,Clear,pulloff on loud highway,2,2,Male,Adult,110,X,X,X,S,S,S,X,X,X,X,X,X,NA,NA,NA,479172.68,4977249,2025-06-12,5H 50M 0S,3719,NA,NA,NA,Singing,Singing,Singing,NA,NA,NA,NA,NA,NA,163,2025,2025-06-12T12:29:15Z,20.99999999999998
959,1,Calling,25_2181-1,2181,842,CWW,2025,6/12/2025,1,07:07:00,50,Clear,kestrel hunting very close to foraging larks,3,1,Male,Adult,65,C,X,V,V,V,V,V,V,V,X,X,X,NA,NA,NA,479804.71,4981153,2025-06-12,7H 7M 0S,2181,Calling,NA,Visual,Visual,Visual,Visual,Visual,Visual,Visual,NA,NA,NA,163,2025,2025-06-12T12:29:15Z,97.99999999999997
960,3,Visual,25_2181-1,2181,842,CWW,2025,6/12/2025,1,07:07:00,50,Clear,kestrel hunting very close to foraging larks,3,2,Male,Adult,74,X,X,V,V,V,V,X,V,X,X,X,X,NA,NA,NA,479804.71,4981153,2025-06-12,7H 7M 0S,2181,NA,NA,Visual,Visual,Visual,Visual,NA,Visual,NA,NA,NA,NA,163,2025,2025-06-12T12:29:15Z,97.99999999999997
961,6,Visual,25_2181-1,2181,842,CWW,2025,6/12/2025,1,07:07:00,50,Clear,kestrel hunting very close to foraging larks,3,3,Female,Adult,72,X,X,X,X,X,V,X,X,X,X,X,X,NA,NA,NA,479804.71,4981153,2025-06-12,7H 7M 0S,2181,NA,NA,NA,NA,NA,Visual,NA,NA,NA,NA,NA,NA,163,2025,2025-06-12T12:29:15Z,97.99999999999997
962,12,Singing,25_5503-1,5503,845,CWW,2025,6/12/2025,1,08:02:00,50,Clear,"SHLA was heard singing in min 1 and 2 of pre-survey period, then not again until min 12",1,1,Male,Adult,35,X,X,X,X,X,X,X,X,X,X,X,S,NA,NA,NA,485891.43,4978709,2025-06-12,8H 2M 0S,5503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Singing,163,2025,2025-06-12T12:29:15Z,153
963,1,Singing,25_5385-1,5385,785,CWW,2025,6/10/2025,1,08:43:00,64,Clear,"Honeybee hives one side, weedy clover other side",1,1,Male,Adult,60,S,S,C,V,X,X,X,X,X,X,X,C,NA,NA,NA,498536.28,4931503,2025-06-10,8H 43M 0S,5385,Singing,Singing,Calling,Visual,NA,NA,NA,NA,NA,NA,NA,Calling,161,2025,2025-06-10T12:29:34Z,194
NA,NA,NA,25_4816-1,4816,707,GRH,2025,5/20/2025,1,09:45:00,55,Mostly cloudy,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476719.31,4957260.5,2025-05-20,9H 45M 0S,4816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,2025,2025-05-20T12:41:35Z,244
NA,NA,NA,25_4329-1,4329,708,GRH,2025,5/20/2025,1,09:12:00,52,Partly cloudy,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470894.9,4964766,2025-05-20,9H 12M 0S,4329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,2025,2025-05-20T12:41:35Z,210.99999999999994
NA,NA,NA,25_4330-1,4330,709,GRH,2025,5/20/2025,1,08:53:00,51,Partly cloudy,"ravens, killdeer, and vultures sorta vibing together",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470448.28,4964294,2025-05-20,8H 53M 0S,4330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,2025,2025-05-20T12:41:35Z,191.99999999999994
NA,NA,NA,25_5391-1,5391,711,GRH,2025,5/20/2025,1,07:50:00,51,Mostly cloudy,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482335.68,4953897,2025-05-20,7H 50M 0S,5391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,2025,2025-05-20T12:41:35Z,128.99999999999997
NA,NA,NA,25_5111-1,5111,712,GRH,2025,5/20/2025,1,06:42:00,49,Drizzle,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503789.28,4943507.5,2025-05-20,6H 42M 0S,5111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,2025,2025-05-20T12:41:35Z,61
NA,NA,NA,25_1896-1,1896,713,GRH,2025,5/20/2025,1,06:12:00,48,Drizzle,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508042.53,4938612.5,2025-05-20,6H 12M 0S,1896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,2025,2025-05-20T12:41:35Z,30.999999999999996
NA,NA,NA,25_4942-1,4942,714,GRH,2025,5/20/2025,1,05:53:00,49,Mostly cloudy,RTHA hunting in field,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508731.56,4937159,2025-05-20,5H 53M 0S,4942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,2025,2025-05-20T12:41:35Z,11.999999999999957
NA,NA,NA,25_4684-1,4684,715,GRH,2025,5/16/2025,1,06:07:00,44,Fog or smoke,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,477767.34,4918245.5,2025-05-16,6H 7M 0S,4684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,2025,2025-05-16T12:45:32Z,21.999999999999975
NA,NA,NA,25_3708-1,3708,716,GRH,2025,5/16/2025,1,06:33:00,45,Fog or smoke,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,477640.59,4917255.5,2025-05-16,6H 33M 0S,3708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,2025,2025-05-16T12:45:32Z,47.999999999999986
NA,NA,NA,25_3709-1,3709,717,GRH,2025,5/16/2025,1,06:56:00,46,Mostly cloudy,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,477527.68,4916615.5,2025-05-16,6H 56M 0S,3709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,2025,2025-05-16T12:45:32Z,71.00000000000001
NA,NA,NA,25_4316-1,4316,718,GRH,2025,5/16/2025,1,07:16:00,48,Mostly cloudy,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479063.71,4915276,2025-05-16,7H 16M 0S,4316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,2025,2025-05-16T12:45:32Z,91
NA,NA,NA,25_3863-1,3863,719,GRH,2025,5/16/2025,1,07:35:00,50,Partly cloudy,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480085.21,4913802.5,2025-05-16,7H 35M 0S,3863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,2025,2025-05-16T12:45:32Z,109.99999999999999
NA,NA,NA,25_5091-1,5091,720,GRH,2025,5/16/2025,1,07:55:00,51,Mostly cloudy,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480542.93,4912756,2025-05-16,7H 55M 0S,5091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,2025,2025-05-16T12:45:32Z,130.00000000000003
NA,NA,NA,25_1417-1,1417,721,GRH,2025,5/16/2025,1,08:35:00,53,Partly cloudy,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473271.4,4912312.5,2025-05-16,8H 35M 0S,1417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,2025,2025-05-16T12:45:32Z,170.00000000000003
NA,NA,NA,25_3515-1,3515,722,GRH,2025,5/16/2025,1,08:55:00,53,Partly cloudy,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473481.53,4910073.5,2025-05-16,8H 55M 0S,3515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,2025,2025-05-16T12:45:32Z,189.99999999999997
NA,NA,NA,25_4070-1,4070,723,GRH,2025,5/16/2025,1,09:19:00,54,Partly cloudy,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474917.37,4905673,2025-05-16,9H 19M 0S,4070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,2025,2025-05-16T12:45:32Z,214
