"Field_ID","unique_ID","Survey_Event_ID","Observer","Survey_Date","Survey_Time","Wind","Temp","Sky_Code","Avg_Noise","Max_Noise","OVSP?","Site_Comments","Number_Detected","Expr1014","Lark_ID","Individual_ID","Sex","Age","Distance Band","Interval_1","Interval_2","Interval_3","Interval_4","Notes"
"22_1_5711",5711,180,"BMW","6/30/2022","8:59:00 AM",2.30,67.00,"2",46.00,79.00,0,"Hops on the north side, clover and bare field on the south, with a house. Bare field looks like baby corn, 2-3"" tall. Right directly in front of a house. Pave road, though fairly quiet for traffic. Some tractor noises. Better suitability than satelite map showed. White-crowned sparrows x 3.",0,,,,,,,,,,,
"22_2_0594",594,146,"BMW","6/18/2022","9:10:00 AM",1.90,57.50,"2",42.00,94.00,0,"Oak forest on part of one side, some cow pasture. Big grass fields beyond a row of houses. Western wood pewees, Acorn woodpeckers, Cliff swallows, purple finches.",0,,,,,,,,,,,
"22_2_0737",737,85,"MLG","6/20/2022","6:40:00 AM",1.50,51.40,"2",57.70,78.00,0,"Grass fields on both sides. Creek with shrubs to west, bare areas along fence margin, grassy shoulder.
Other species: BRBL, RWBL, AMRO, SASP, KILL, COYE, AMGO, BASW",0,,,,,,,,,,,
"22_2_0746",746,84,"MLG","6/20/2022","6:11:00 AM",0.00,47.40,"0",47.30,69.00,0,"Tall grass fields on both sides, houses, <200m on west side. Grass up to the road. Ground fog
Other speciesL HOFI, RWBL, RTHA, KILL, EUCD, AMRO",0,,,,,,,,,,,
"22_2_0764",764,150,"BMW","6/18/2022","7:16:00 AM",3.80,56.00,"2",51.00,104.00,0,"Some ag buildings, houses and oaks, but some large grass/hay fields too. White-breasted Nuthatches in oaks.",0,,,,,,,,,,,
"22_2_0801",801,68,"MLG","6/18/2022","7:33:00 AM",5.00,54.20,"2",52.40,75.00,0,"Tall grass fields on both sides. Gravel shoulder with some short grass. Water in the ditch",0,,,,,,,,,,,
"22_2_0876",876,101,"MLG","6/23/2022","5:43:00 AM",0.00,48.90,"0",71.60,92.00,0,"In front of a house. Tall grass fields on both sides beyond house, gravel shoulder.
Other species: BRBL, BUOR, RTHA, SASP",0,,,,,,,,,,,
"22_2_0923",923,34,"MLG","6/13/2022","9:05:00 AM",1.20,61.50,"2",50.20,79.00,0,"Freshly plowed fields on both sides of the point surrounded by large fruit tree orchards. Fields <200m wide. Other species noted: CHSP, AMGO, LEGO, YEWA, CEDW, RTHA, COHA, ECDO, WEWP",0,,,,,,,,,,,
"22_2_0941",941,9,"MLG","6/8/2022","6:57:00 AM",2.50,56.50,"4",67.30,86.00,0,"Across from a house. Grass fields on both sides west of point",0,,,,,,,,,,,
"22_2_0986",986,123,"MLG","6/29/2022","6:19:00 AM",1.50,61.50,"2",55.80,60.00,0,"Tall grass fields on both sides. Filberts to the south. Gravel shoulder, mowed ditch
Other species: COYE",0,,,,,,,,,,,
"22_2_1020",1020,30,"MLG","6/13/2022","7:01:00 AM",3.50,52.10,"2",40.20,61.00,0,"tall grass fields on both sides, gravel shoulder",0,,,,,,,,,,,
"22_2_1025",1025,15,"MLG","6/8/2022","9:28:00 AM",6.10,62.20,"1",76.10,96.00,0,"Point on a curve. Tall grass on both sides with bare shoulder. SASP singing",0,,,,,,,,,,,
"22_2_1101",1101,21,"MLG","6/9/2022","7:46:00 AM",2.30,57.70,"2",70.00,98.00,0,"Paved road with ag barns and house on the west side, tall grass field on the east. Killdeer nesting in the parking lot, 3 WEWP singing. Wind increased to 5mph during survey",0,,,,,,,,,,,
"22_2_1122",1122,10,"MLG","6/8/2022","7:23:00 AM",1.30,58.80,"2",79.50,101.00,0,,0,,,,,,,,,,,
"22_2_1188",1188,200,"SHA","6/24/2022","9:31:00 AM",3.30,67.30,"0",49.60,69.00,0,"open fields both sides, NOHA getting mobbed by RWBL, CLSW.",0,,,,,,,,,,,
"22_2_1270",1270,49,"MLG","6/16/2022","8:31:00 AM",5.80,58.40,"2",82.50,103.00,0,"Buildings and parking lots to north and southeast of point within 200m, grass field to west and east. Gravel shoulder. Cant hear much over the wood mill",0,,,,,,,,,,,
"22_2_1326",1326,201,"SHA","6/24/2022","8:24:00 AM",4.50,61.20,"0",58.60,74.00,0,,0,,,,,,,,,,,
"22_2_1345",1345,210,"SHA","6/23/2022","7:24:00 AM",4.50,57.60,"0",53.90,77.00,0,"~2.5m high filbert orchard on NE side, fescue field on other",0,,,,,,,,,,,
"22_2_1376",1376,86,"MLG","6/20/2022","7:05:00 AM",1.50,52.70,"2",73.00,94.00,0,"Filberts (<1.5m tall on east side with mostly bare ground underneath, tall grass field on west side. Gravel shoulder.",3,29,29,1,"M","A","2","X","X","S","S",
"22_2_1376",1376,86,"MLG","6/20/2022","7:05:00 AM",1.50,52.70,"2",73.00,94.00,0,"Filberts (<1.5m tall on east side with mostly bare ground underneath, tall grass field on west side. Gravel shoulder.",3,30,30,2,"M","A","2","X","X","X","S",
"22_2_1376",1376,86,"MLG","6/20/2022","7:05:00 AM",1.50,52.70,"2",73.00,94.00,0,"Filberts (<1.5m tall on east side with mostly bare ground underneath, tall grass field on west side. Gravel shoulder.",3,31,31,3,"M","A","1","X","X","X","S",
"22_2_1439",1439,102,"MLG","6/23/2022","6:08:00 AM",1.40,55.60,"0",65.80,95.00,0,"Factory and train yard on east side, tall grass field to west. Gravel shoulder",0,,,,,,,,,,,
"22_2_1486",1486,151,"BMW","6/18/2022","7:35:00 AM",4.00,59.00,"1",38.00,101.00,0,"Marginal site. Multiple houses with trees. Some orchard/nursery trees, but a couple large fields of grass too. Maybe less than 50% suitable, but not all permanent crops, so keeping for now.",0,,,,,,,,,,,
"22_2_1497",1497,63,"MLG","6/18/2022","5:51:00 AM",0.00,51.20,"2",45.20,68.00,0,"Slightley less that 50% forested within 200m buffer. Trees to south, grass field to north. Gravel shoulder. Other species: MODO, SOSP, RNPH, CEDW",0,,,,,,,,,,,
"22_2_1505",1505,52,"MLG","6/16/2022","9:27:00 AM",2.40,61.80,"2",69.50,101.00,0,"Tall grass field to west, houses to east",1,24,24,1,"M","A","3","X","X","S","S",
"22_2_1513",1513,29,"MLG","6/13/2022","6:36:00 AM",2.40,53.80,"2",51.20,67.00,0,"Gravel road with grass on northwest side, filberts to east.",0,,,,,,,,,,,
"22_2_1555",1555,12,"MLG","6/8/2022","8:07:00 AM",1.00,66.40,"1",87.60,105.00,0,"Busy road. Grassy hill to east of point, trees along a creek to the west.",0,,,,,,,,,,,
"22_2_1584",1584,107,"MLG","6/23/2022","7:50:00 AM",5.10,56.40,"0",68.80,97.00,0,"Clover on north side, >2m filberts to southwest. Creek and cow pasture with tall trees to southeast. Gravel shoulder and grass under filberts.
Other species: AMRO, BASW, CEDW",0,,,,,,,,,,,
"22_2_1635",1635,196,"SHA","6/25/2022","7:04:00 AM",0.00,52.30,"0",57.10,83.00,0,"field on one side house on the other, was quiet but avg noise shot up from hay truck",0,,,,,,,,,,,
"22_2_1651",1651,214,"SHA","6/23/2022","6:00:00 AM",0.00,48.70,"0",38.50,53.00,0,"oak stand covers 1/4, rest is fescue and clover",0,,,,,,,,,,,
"22_2_1662",1662,48,"MLG","6/16/2022","8:10:00 AM",3.10,56.70,"2",79.70,99.00,0,"Park behind rexius sign at intersection. Grass fields on both sides, not many bare areas. Busy crossroad, very little shoulder",0,,,,,,,,,,,
"22_2_1670",1670,205,"SHA","6/24/2022","6:37:00 AM",0.00,52.90,"0",50.70,75.00,0,"large fields, power station, barking dog",0,,,,,,,,,,,
"22_2_1680",1680,118,"MLG","6/25/2022","8:12:00 AM",4.20,68.70,"0",43.70,57.00,0,"Tall grass on both sides: Gravel shoulder. 20' filberts to the west
Other species: SASP, AMGO",0,,,,,,,,,,,
"22_2_1703",1703,81,"MLG","6/19/2022","9:17:00 AM",0.00,57.40,"2",53.60,76.00,0,"Houses on north side of point, small tall grass field on south side with filberts beyond. Lots of tall trees surrounding point but not more than 50% within the 200m buffer.
Other species: AMRO, WEWP, EUCD, VGSW, BHGR, CEDW, LABU, NRWS, WASW, CLSW, BUOR",0,,,,,,,,,,,
"22_2_1704",1704,197,"SHA","6/25/2022","7:35:00 AM",0.00,65.20,"0",49.40,57.00,0,"stand of oak edges road, fallow field beyond to NE, can see I5 from point",0,,,,,,,,,,,
"22_2_1717",1717,147,"BMW","6/18/2022","8:47:00 AM",3.20,60.00,"2",49.00,99.00,0,"Low grass fields with cows in it on side. Some houses and buildings on the other.",0,,,,,,,,,,,
"22_2_1816",1816,106,"MLG","6/23/2022","7:25:00 AM",4.90,55.20,"0",63.50,91.00,0,"Mowed field to south, tall grass to north. Bare field to east.
Other species: KILL, EUCD, RTHA",2,42,42,1,"M","A","3","X","S","X","X",
"22_2_1816",1816,106,"MLG","6/23/2022","7:25:00 AM",4.90,55.20,"0",63.50,91.00,0,"Mowed field to south, tall grass to north. Bare field to east.
Other species: KILL, EUCD, RTHA",2,43,43,2,"U","A","3","X","X","C","X","100+ m east of the first lark"
"22_2_1834",1834,13,"MLG","6/8/2022","8:29:00 AM",4.20,61.60,"2",73.30,91.00,0,"Stubble field to the west with low spots that would flood, tall grass field to the east.",2,5,5,2,"F","A","3","X","X","X","V",
"22_2_1834",1834,13,"MLG","6/8/2022","8:29:00 AM",4.20,61.60,"2",73.30,91.00,0,"Stubble field to the west with low spots that would flood, tall grass field to the east.",2,4,4,1,"M","A","2","X","V","S","S",
"22_2_1845",1845,82,"MLG","6/20/2022","5:36:00 AM",0.00,44.00,"0",74.30,97.00,0,"Busy road. Houses and nursery on south side, wheat field to north. Line of tall trees to east with very little bare ground.
Other species: SPTO, LABU, SOSP, HOFI",0,,,,,,,,,,,
"22_2_1896",1896,198,"SHA","6/24/2022","6:47:00 AM",0.00,52.50,"0",39.10,54.00,0,,0,,,,,,,,,,,
"22_2_1911",1911,149,"BMW","6/18/2022","9:56:00 AM",3.30,59.50,"2",30.00,103.00,0,"Big hazelnuts and tall forest on one side, mint, 2-3ft tall on other. Some bare ground at edge between mint and wheat. Very quiet spot. White crowned Sparrows x5+.",0,,,,,,,,,,,
"22_2_1992",1992,66,"MLG","6/18/2022","6:50:00 AM",2.30,53.30,"4",63.30,90.00,0,"On a bit of a hill. Grass fields on both sides, gravel shoulder and bare margin. Some very curious cows
Other species: NOHA, CLSW, PEFA (with prey), MODO",0,,,,,,,,,,,
"22_2_1996",1996,4,"SHA","6/7/2022","8:38:00 AM",0.00,56.00,"2",48.00,74.00,0,,1,2,2,1,"M","A","3","X","V","V","V",
"22_2_2010",2010,33,"MLG","6/13/2022","8:17:00 AM",2.80,59.60,"2",55.90,84.00,0,"Point by a house. Tall grass fields on both sides of the road, ditch with running water to the west. Lark singing from bare dirt next to water, out of view due to grass. BAEA in the snag",1,16,16,1,"M","A","2","S","X","C","C",
"22_2_2026",2026,115,"MLG","6/25/2022","6:55:00 AM",1.00,58.90,"0",55.60,77.00,0,"Ag complex in NE quarter of point buffer. Blooming seed crop to west, dry seed crop to southeast. Very steep ditch/ gravel shoulder. Not much bare ground
Other species: AMRO, BASW, BRBL, EUST, RTHA, RWBL, HOFI",0,,,,,,,,,,,
"22_2_2036",2036,67,"MLG","6/18/2022","7:12:00 AM",2.20,52.70,"2",74.40,100.00,0,"Tall grass fields on both sides, gravel shoulder + bare field margins. Sheep grazing south field, filberts to south east past intersection",0,,,,,,,,,,,
"22_2_2051",2051,20,"MLG","6/9/2022","7:07:00 AM",1.20,57.20,"2",40.00,59.00,0,"Gravel road with 2m grass on both sides",0,,,,,,,,,,,
"22_2_2062",2062,64,"MLG","6/18/2022","6:10:00 AM",2.30,51.90,"2",48.60,69.00,0,"Paved road, grass fields on all sides. Gravel shoulder",0,,,,,,,,,,,
"22_2_2145",2145,120,"MLG","6/25/2022","6:24:00 AM",0.00,55.40,"0",44.10,60.00,0,"Tall grass fields on both sides of gravel road. 2 Large ag barns and house to Southeast.
Other species: HOSP, BRBL, EUCD, EUST, KILL, SASP, HOWR, MODO",0,,,,,,,,,,,
"22_2_2195",2195,28,"MLG","6/13/2022","6:15:00 AM",1.50,56.20,"2",39.80,67.00,0,"Bare gravel ditch with some water on both sides of the road, 2m tall grass.",0,,,,,,,,,,,
"22_2_2200",2200,199,"SHA","6/25/2022","6:26:00 AM",0.00,48.00,"0",54.20,81.00,0,"grass fields both sides",0,,,,,,,,,,,
"22_2_2228",2228,213,"SHA","6/23/2022","6:39:00 AM",0.00,50.70,"0",60.40,83.00,0,"fescue on one side, small white flowers on other",0,,,,,,,,,,,
"22_2_2229",2229,212,"SHA","6/23/2022","6:51:00 AM",3.00,50.70,"0",59.90,79.00,0,"open grass fields both sides, some tree stands toward E, lots of starlings and blackbirds calling throughout survey",0,,,,,,,,,,,
"22_2_2407",2407,7,"MLG","6/8/2022","6:07:00 AM",1.00,58.50,"2",66.40,86.00,0,"3 way intersection with 3 different fields at a lower level than field. Clean open ground shoulder/ditch",0,,,,,,,,,,,
"22_2_2432",2432,204,"SHA","6/24/2022","6:05:00 AM",0.00,53.70,"0",53.10,77.00,0,"hay field freshly cut and baled on west side, filbert on E",0,,,,,,,,,,,
"22_2_2447",2447,108,"MLG","6/23/2022","8:17:00 AM",6.90,58.10,"0",88.10,108.00,0,"Tall grass fields on both sides. Steep gravel shoulder. Bare ground at fence margin.
Other species: AMRO, TRSW, CEDW, AMGO, SASP",0,,,,,,,,,,,
"22_2_2450",2450,203,"SHA","6/24/2022","7:59:00 AM",3.30,57.50,"0",64.90,84.00,0,"grass on one side, clover on the other",0,,,,,,,,,,,
"22_2_2503",2503,27,"MLG","6/13/2022","5:45:00 AM",1.20,54.50,"2",29.00,74.00,0,"200 yds of bare ground on west side of point across from a barn. Park between power pole and 40mph sign.",0,,,,,,,,,,,
"22_2_2541",2541,11,"MLG","6/8/2022","7:45:00 AM",1.10,61.00,"1",85.10,105.00,0,"Grassy slope to the west of point, line of trees on the east with grass field beyond",0,,,,,,,,,,,
"22_2_2558",2558,19,"MLG","6/9/2022","6:41:00 AM",1.30,57.20,"1",60.00,90.00,0,"Gravel road with 1.5 m grass on both sides. Lots of SASP",0,,,,,,,,,,,
"22_2_2574",2574,8,"MLG","6/8/2022","6:37:00 AM",2.00,63.00,"2",82.20,103.00,0,"No shoulder, park at vacant lot near trees. 2+m grass on both sides of the road.",0,,,,,,,,,,,
"22_2_2878",2878,117,"MLG","6/25/2022","7:48:00 AM",1.20,62.20,"0",49.20,61.00,0,"Tall grass field to west, short grass/ mostly bare field to east. Gravel shoulder
Other species: EUST, BASW, KILL",4,46,46,1,"M","A","2","S","S","C","X",
"22_2_2878",2878,117,"MLG","6/25/2022","7:48:00 AM",1.20,62.20,"0",49.20,61.00,0,"Tall grass field to west, short grass/ mostly bare field to east. Gravel shoulder
Other species: EUST, BASW, KILL",4,47,47,2,"M","A","3","X","V","C","V","Flew in chasing a third male and female"
"22_2_2878",2878,117,"MLG","6/25/2022","7:48:00 AM",1.20,62.20,"0",49.20,61.00,0,"Tall grass field to west, short grass/ mostly bare field to east. Gravel shoulder
Other species: EUST, BASW, KILL",4,48,48,3,"F","A","3","X","V","X","V",
"22_2_2878",2878,117,"MLG","6/25/2022","7:48:00 AM",1.20,62.20,"0",49.20,61.00,0,"Tall grass field to west, short grass/ mostly bare field to east. Gravel shoulder
Other species: EUST, BASW, KILL",4,49,49,4,"M","A","3","X","V","C","C",
"22_2_2991",2991,122,"MLG","6/29/2022","5:57:00 AM",0.00,59.90,"2",75.80,98.00,0,"House and barns to east, wheat field and tall trees along road to west. Tall grass around the house. Gravel shoulder. Busy road (coburg)
Other species: BCCH, BEWR, BRCR",0,,,,,,,,,,,
"22_2_3038",3038,3,"SHA","6/9/2022","6:09:00 AM",3.00,58.70,"1",66.30,82.00,0,"grass ag fields on both sides of road, large patches of trees both sides ~100m N on road",0,,,,,,,,,,,
"22_2_3214",3214,148,"BMW","6/18/2022","9:38:00 AM",3.20,60.00,"2",41.00,104.00,0,"Grass field with some shorter grass in a low area. Some houses with farm building and trees. Savannah sparrow and house wren.",0,,,,,,,,,,,
"22_2_3278",3278,121,"MLG","6/29/2022","5:34:00 AM",0.00,60.80,"2",56.10,76.00,0,"Wheat field to east, house and barns to west. Mowed shoulder
Other species: BRBL, SOSP, HOFI, EUST, RWBL, MODO",0,,,,,,,,,,,
"22_2_3478",3478,119,"MLG","6/25/2022","8:56:00 AM",0.00,73.10,"0",43.50,61.00,0,"Barely less than 50% forested on east side, Grass field with more large trees on west side. Gravel shoulder
Other species: AMGO, WEWP, BUSH, CORA, BAEA, SOSP, DOWO, EUST, HOWR",0,,,,,,,,,,,
"22_2_3539",3539,62,"MLG","6/18/2022","5:31:00 AM",0.00,50.20,"2",81.50,104.00,0,"Busy road. Houses and trees to west, grass field to east. Gravel shoulder.",0,,,,,,,,,,,
"22_2_3690",3690,65,"MLG","6/18/2022","6:31:00 AM",1.20,51.90,"2",47.60,68.00,0,"Tall grass field to west, mowed grass to east with bare/wet patches. Gravel shoulder",4,25,25,1,"M","A","2","C","S","C","X",
"22_2_3690",3690,65,"MLG","6/18/2022","6:31:00 AM",1.20,51.90,"2",47.60,68.00,0,"Tall grass field to west, mowed grass to east with bare/wet patches. Gravel shoulder",4,28,28,4,"F","A","2","X","X","X","V","Feeding near male 3"
"22_2_3690",3690,65,"MLG","6/18/2022","6:31:00 AM",1.20,51.90,"2",47.60,68.00,0,"Tall grass field to west, mowed grass to east with bare/wet patches. Gravel shoulder",4,26,26,2,"M","A","3","S","S","X","X",
"22_2_3690",3690,65,"MLG","6/18/2022","6:31:00 AM",1.20,51.90,"2",47.60,68.00,0,"Tall grass field to west, mowed grass to east with bare/wet patches. Gravel shoulder",4,27,27,3,"M","A","2","X","X","X","V",
"22_2_3969",3969,16,"MLG","6/9/2022","5:58:00 AM",1.50,58.00,"2",79.40,98.00,0,"Gravel shoulder with tall grass on both sides. Busy road on HWY 99E",0,,,,,,,,,,,
"22_2_3990",3990,83,"MLG","6/20/2022","5:54:00 AM",0.80,47.10,"0",53.20,64.00,0,"Tall grass fields and unmowed shoulders on both sides. Very little bare ground besides field entrances. Ground fog.
Other species: RWBL, SASP, BHCO, KILL",0,,,,,,,,,,,
"22_2_4018",4018,5,"SHA","6/7/2022","9:21:00 AM",1.60,52.00,"2",41.00,71.00,0,,0,,,,,,,,,,,
"22_2_4029",4029,131,"MLG","6/30/2022","6:54:00 AM",0.00,58.00,"0",73.20,90.00,0,"Treed slope to east with houses, grass fields to west. Bare shoulder, shrubby berm.
Other species: OCWA, BCCH, BUSH, COYE, CASJ, EUCD, TRSW, AMRO, WREN, LEGO, BHGR, BEWR, CEDW",0,,,,,,,,,,,
"22_2_4174",4174,22,"MLG","6/9/2022","8:28:00 AM",6.00,59.00,"2",59.00,100.00,0,"Paved road with a somewhat steep gravel shoulder. Park a bit ahead in field entrance. Tall grass on both sides. Gusty",3,9,9,3,"U","A","3","X","X","V","X","Flew away before sex could be ID'd"
"22_2_4174",4174,22,"MLG","6/9/2022","8:28:00 AM",6.00,59.00,"2",59.00,100.00,0,"Paved road with a somewhat steep gravel shoulder. Park a bit ahead in field entrance. Tall grass on both sides. Gusty",3,8,8,2,"F","A","2","X","X","V","V",
"22_2_4174",4174,22,"MLG","6/9/2022","8:28:00 AM",6.00,59.00,"2",59.00,100.00,0,"Paved road with a somewhat steep gravel shoulder. Park a bit ahead in field entrance. Tall grass on both sides. Gusty",3,7,7,1,"M","A","2","X","V","S","V",
"22_2_4407",4407,104,"MLG","6/23/2022","6:49:00 AM",2.30,59.30,"0",73.90,95.00,0,"Tall grass fields on both sides, mowed margin to east. Gravel shoulders.",0,,,,,,,,,,,
"22_2_4416",4416,31,"MLG","6/13/2022","7:29:00 AM",5.60,50.90,"4",67.90,99.00,0,"Park in gravel pullout north of point. Diamond hill wetlands to northeast, stubble field to south. Field is pretty wet after the rain. Other species noted: 12 KILL, 5 BAEA",2,15,15,2,"M","A","3","X","X","S","S",
"22_2_4416",4416,31,"MLG","6/13/2022","7:29:00 AM",5.60,50.90,"4",67.90,99.00,0,"Park in gravel pullout north of point. Diamond hill wetlands to northeast, stubble field to south. Field is pretty wet after the rain. Other species noted: 12 KILL, 5 BAEA",2,14,14,1,"M","A","2","X","S","V","S",
"22_2_4454",4454,69,"MLG","6/18/2022","7:54:00 AM",3.70,54.50,"4",59.80,80.00,0,"Tall grass fields on both sides of paved road. Steep shoulder/ditch with mowed grass",0,,,,,,,,,,,
"22_2_4477",4477,74,"MLG","6/19/2022","6:32:00 AM",0.00,55.90,"2",59.50,89.00,0,"Creek with tall trees on the edge northwest of point, grass fields on both sides to the southwest
Other species: WODU, SWTH, AMRO, AMGO, CEDW, BHGR, EUST, MODO, MALL",0,,,,,,,,,,,
"22_2_4631",4631,51,"MLG","6/16/2022","9:06:00 AM",1.40,59.20,"2",71.90,93.00,0,"House to northeast, line of trees to west. Tall grass fields on both sides, gravel shoulder",0,,,,,,,,,,,
"22_2_4705",4705,18,"MLG","6/9/2022","6:22:00 AM",0.00,60.80,"1",23.00,97.00,0,"2m high grass on south side of point, clover on the north side. Gravel and low grass shoulder. A cool biplane flew over",1,6,6,1,"M","A","3","X","S","C","X",
"22_2_4748",4748,72,"MLG","6/19/2022","5:56:00 AM",0.00,56.40,"2",51.10,76.00,0,"Ankeny NWR. Tall trees bordering the road, tall grass beyond on both sides.
Other species: SWTH, CAQU, MODO, SPTO, AMRO, AMCR, CORA, CASJ, SOSP, DOWO",0,,,,,,,,,,,
"22_2_4796",4796,103,"MLG","6/23/2022","6:27:00 AM",0.30,51.30,"0",86.60,107.00,0,"In front of a house with lots of trees and very steep shoulder, park by mailbox. Grass on south side beyond hedge/blackberries. Busy road with lots of truck traffic.
Other species: AMGO, AMRO, BRBL, SOSP, BASW",0,,,,,,,,,,,
