OBJECTID,Site_ID,FID,ln_UTM1083,lt_UTM1083,siteID,siteuse,replsit,ln_WGS84,lt_WGS84,stratum,wgt,ip,caty,aux,uniq_ID,srvy_st,keep,fr_yr__,pct_suitable_2021,OBJECTID_1,ORIG_FID,ID,FEATTYP,FT,F_JNCTID,F_JNCTTYP,T_JNCTID,T_JNCTTYP,PJ,METERS,FRC,NETCLASS,NETBCLASS,NET2CLASS,SOL,NAMETYP,CHARGE,SHIELDNUM,RTETYP,RTEDIR,RTEDIRVD,PROCSTAT,FOW,SLIPRD,FREEWAY,BACKRD,TOLLRD,RDCOND,STUBBLE,PRIVATERD,CONSTATUS,ONEWAY,F_BP,T_BP,F_ELEV,T_ELEV,KPH,MINUTES,POSACCUR,CARRIAGE,LANES,RAMP,ADAS,TRANS,DYNSPEED,SPEEDCAT,NTHRUTRAF,ROUGHRD,PARTSTRUC,STATE,FULLNAME,PREFIX,PRETYPE,NAME,TYPE,SUFFIX,NAME_DIR,NAMELC,GIS_PRC_DT,Shape_Length,Shape_Area,recovery_zone,unique_ID,max_2017,max_2018,max_2020,max_2021,max_2017_scaled,max_2018_scaled,max_2020_scaled,max_2021_scaled,X_coord,Y_coord,four_year_avg,four_year_avg_scaled,pct_suitable_2021_2022
11,1011,10,509716,4984610,Site-11,Legacy,None,-122.870000000000005,45.009999999999998,None,98.659999999999997,0.010000000000000,None,0.610000000000000,2203,1,1,0.610000000000000,0.0000000,2796,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOWELL PRAIRIE,RD,NE,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,2203,5,5,4,7,0.5000000,0.5000000,0.4020000,0.6960000,-122.8767014,45.0148544,5.2500000,0.6152941,0.0000000
12,1012,11,489376,4983580,Site-12,Legacy,None,-123.129999999999995,45.000000000000000,None,65.109999999999999,0.010000000000000,None,0.930000000000000,3875,1,1,0.930000000000000,0.0118092,4906,4130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 H,RD,NW,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,3875,8,8,8,8,0.7940000,0.7940000,0.7940000,0.7940000,-123.1348114,45.0056305,8.0000000,0.9323530,0.0118092
13,1013,12,501840,4956910,Site-13,Legacy,None,-122.969999999999999,44.759999999999998,None,69.400000000000006,0.010000000000000,None,0.870000000000000,4558,1,1,0.870000000000000,0.4110876,5833,5057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WINTERCREEK,RD,SE,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,4558,7,8,7,8,0.6960000,0.7940000,0.6960000,0.7940000,-122.9767532,44.7655754,7.5000000,0.8747059,0.4110876
14,1014,13,512562,4942490,Site-14,Legacy,None,-122.840000000000003,44.630000000000003,None,74.299999999999997,0.010000000000000,None,0.810000000000000,5422,1,1,0.810000000000000,0.8881443,7046,6270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FISH HATCHERY,DR,,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,5422,6,8,6,8,0.5980000,0.7940000,0.5980000,0.7940000,-122.8416061,44.6356812,7.0000000,0.8170588,0.8881443
15,1015,14,491128,5013180,Site-15,Legacy,None,-123.109999999999999,45.270000000000003,None,86.510000000000005,0.010000000000000,None,0.700000000000000,213,1,1,0.700000000000000,0.0000000,308,308,488400000923821,4110,0,488400200146962,0,488400200150021,0,0,1651.299999999999955,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,2,0,0, ,,0,0,1,0,32,3.098000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,NE Oak Springs Farm Rd,NE, ,Oak Springs Farm,Rd, ,,en,,1256.637061435917303,125663.706143591727596,1,213,6,6,5,7,0.5980000,0.5980000,0.5000000,0.6960000,-123.1130981,45.2720337,6.0000000,0.7017647,0.0000000
16,1016,15,509995,4970940,Site-16,Legacy,None,-122.870000000000005,44.890000000000001,None,86.510000000000005,0.010000000000000,None,0.700000000000000,975,1,1,0.700000000000000,0.0000000,1319,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOWELL PRAIRIE,RD,SE,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,975,6,6,6,6,0.5980000,0.5980000,0.5980000,0.5980000,-122.8734283,44.8918228,6.0000000,0.7017647,0.0000000
17,1017,16,513556,4956580,Site-17,Base,None,-122.819999999999993,44.759999999999998,None,77.019999999999996,0.010000000000000,None,0.780000000000000,597,2,0,0.780000000000000,0.0000000,850,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHELBURN,DR,,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,597,6,8,6,7,0.5980000,0.7940000,0.5980000,0.6960000,-122.8287048,44.7624474,6.7500000,0.7882353,0.0000000
18,1018,17,503891,4977940,Site-18,Base,None,-122.950000000000003,44.950000000000003,None,74.299999999999997,0.010000000000000,None,0.810000000000000,1026,2,0,0.810000000000000,0.0010867,1377,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUNNYVIEW,RD,NE,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,1026,6,8,7,7,0.5980000,0.7940000,0.6960000,0.6960000,-122.9506683,44.9548569,7.0000000,0.8170588,0.0010867
19,1019,18,520434,5008700,Site-19,Base,None,-122.730000000000004,45.229999999999997,None,74.299999999999997,0.010000000000000,None,0.810000000000000,982,2,0,0.810000000000000,0.0163713,1328,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,LONE ELDER,RD,,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,982,7,7,7,7,0.6960000,0.6960000,0.6960000,0.6960000,-122.7396851,45.2314758,7.0000000,0.8170588,0.0163713
20,1020,19,497695,5050680,Site-20,Base,None,-123.019999999999996,45.600000000000001,None,6071.000000000000000,0.000164717000000,None,0.010000000000000,2068,2,0,0.010000000000000,0.0000000,2640,1864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NW,,MOUNTAINDALE,RD,,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,2068,0,0,0,0,0.0100000,0.0100000,0.0100000,0.0100000,-123.0295639,45.6096878,0.0000000,0.0100000,0.0000000
21,1021,20,516855,5001720,Site-21,Base,None,-122.780000000000001,45.159999999999997,None,69.400000000000006,0.010000000000000,None,0.870000000000000,634,2,0,0.870000000000000,0.2042233,897,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARL,RD,NE,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,634,8,8,6,8,0.7940000,0.7940000,0.5980000,0.7940000,-122.7855148,45.1687965,7.5000000,0.8747059,0.2042233
22,1022,21,515820,4986490,Site-22,Base,None,-122.790000000000006,45.030000000000001,None,94.250000000000000,0.010000000000000,None,0.640000000000000,2053,2,0,0.640000000000000,0.0000000,2621,1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GALLON HOUSE,RD,NE,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,2053,5,6,5,6,0.5000000,0.5980000,0.5000000,0.5980000,-122.7991638,45.0316734,5.5000000,0.6441177,0.0000000
23,1023,22,492171,4989350,Site-23,Base,None,-123.090000000000003,45.049999999999997,None,77.019999999999996,0.010000000000000,None,0.780000000000000,882,2,0,0.780000000000000,0.0000000,1211,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETHEL HEIGHTS,RD,NW,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,882,7,7,6,7,0.6960000,0.6960000,0.5980000,0.6960000,-123.0994339,45.0575333,6.7500000,0.7882353,0.0000000
24,1024,23,505287,4985470,Site-24,Base,None,-122.930000000000007,45.020000000000003,None,74.299999999999997,0.010000000000000,None,0.810000000000000,2405,2,0,0.810000000000000,0.0006414,3033,2257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62ND,AVE,NE,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,2405,7,7,7,7,0.6960000,0.6960000,0.6960000,0.6960000,-122.9328918,45.0226326,7.0000000,0.8170588,0.0006414
25,1025,24,495291,5009540,Site-25,Base,None,-123.049999999999997,45.229999999999997,None,86.510000000000005,0.010000000000000,None,0.700000000000000,4794,2,0,0.700000000000000,0.0000000,6149,5373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PACIFIC,HWY,W,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,4794,5,7,5,7,0.5000000,0.6960000,0.5000000,0.6960000,-123.0599976,45.2393188,6.0000000,0.7017647,0.0000000
26,1026,25,532941,5012800,Site-26,Base,None,-122.579999999999998,45.259999999999998,None,114.799999999999997,0.008710647000000,None,0.520000000000000,1472,2,0,0.520000000000000,0.0000000,1918,1142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,1472,3,5,4,6,0.3040000,0.5000000,0.4020000,0.5980000,-122.5800858,45.2678986,4.5000000,0.5288236,0.0000000
27,1027,26,520840,4990880,Site-27,Base,None,-122.730000000000004,45.070000000000000,None,65.109999999999999,0.010000000000000,None,0.930000000000000,5711,2,0,0.930000000000000,0.0471000,7450,6674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARQUAM,RD,NE,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,5711,8,8,8,8,0.7940000,0.7940000,0.7940000,0.7940000,-122.7352600,45.0711136,8.0000000,0.9323530,0.0471000
28,1028,27,505278,4959650,Site-28,Base,None,-122.930000000000007,44.789999999999999,None,71.769999999999996,0.010000000000000,None,0.840000000000000,4861,2,0,0.840000000000000,0.0638266,6236,5460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HUNSAKER,RD,SE,,,07/22/2019,1256.637061435917303,125663.706143591727596,1,4861,5,9,7,8,0.5000000,0.8920000,0.6960000,0.7940000,-122.9332733,44.7902260,7.2500000,0.8458824,0.0638266
29,2001,0,497742,4947680,Site-001,Legacy,None,-123.019999999999996,44.680000000000000,None,9.560000000000000,0.100000000000000,None,0.730000000000000,594,1,1,0.730000000000000,0.0000000,846,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEDDY,AVE,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,594,6,6,6,7,0.5980000,0.5980000,0.5980000,0.6960000,-123.0284882,44.6824722,6.2500000,0.7305883,0.0000000
30,2002,1,504799,4910620,Site-002,Legacy,None,-122.939999999999998,44.340000000000003,None,9.560000000000000,0.100000000000000,None,0.730000000000000,3478,1,1,0.730000000000000,0.0000000,4373,3597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIMBER,RD,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,3478,6,6,6,7,0.5980000,0.5980000,0.5980000,0.6960000,-122.9397888,44.3488655,6.2500000,0.7305883,0.0000000
31,2003,2,495338,4952970,Site-003,Legacy,None,-123.049999999999997,44.729999999999997,None,7.730000000000000,0.120000000000000,None,0.900000000000000,1704,1,1,0.900000000000000,0.0877035,2184,1408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOEFER,DR,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,1704,7,8,8,8,0.6960000,0.7940000,0.7940000,0.7940000,-123.0588760,44.7300797,7.7500000,0.9035294,0.0877035
32,2004,3,490941,4891030,Site-004,Legacy,None,-123.109999999999999,44.170000000000002,None,7.490000000000000,0.130000000000000,None,0.930000000000000,2503,1,1,0.930000000000000,0.3359423,3146,2370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COBURG,RD,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,2503,8,8,8,8,0.7940000,0.7940000,0.7940000,0.7940000,-123.1133194,44.1723976,8.0000000,0.9323530,0.3359423
33,2005,4,507960,4937160,Site-005,Legacy,None,-122.900000000000006,44.579999999999998,None,9.949999999999999,0.100000000000000,None,0.700000000000000,5269,1,1,0.700000000000000,0.0000000,6816,6040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TENNESSEE SCHOOL,RD,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,5269,6,6,6,6,0.5980000,0.5980000,0.5980000,0.5980000,-122.8997116,44.5877228,6.0000000,0.7017647,0.0000000
34,2006,5,498098,4898910,Site-006,Legacy,None,-123.019999999999996,44.240000000000002,None,7.260000000000000,0.130000000000000,None,0.960000000000000,1020,1,1,0.960000000000000,0.9847051,1370,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRICEBORO,DR,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,1020,7,8,10,8,0.6960000,0.7940000,0.9900000,0.7940000,-123.0238190,44.2433853,8.2500000,0.9611765,0.9847051
35,2007,6,487071,4930390,Site-007,Legacy,None,-123.159999999999997,44.520000000000003,None,8.539999999999999,0.110000000000000,None,0.810000000000000,5315,1,1,0.810000000000000,0.0245089,6879,6103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HARVEST,DR,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,5315,6,8,6,8,0.5980000,0.7940000,0.5980000,0.7940000,-123.1627121,44.5267525,7.0000000,0.8170588,0.0245089
36,2008,7,488846,4895910,Site-008,Legacy,None,-123.129999999999995,44.210000000000001,None,9.560000000000000,0.100000000000000,None,0.730000000000000,923,1,1,0.730000000000000,0.0000000,1257,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CURTIS,RD,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,923,5,5,8,7,0.5000000,0.5000000,0.7940000,0.6960000,-123.1396332,44.2163315,6.2500000,0.7305883,0.0000000
37,2009,8,505039,4926570,Site-009,Legacy,None,-122.930000000000007,44.490000000000002,None,9.560000000000000,0.100000000000000,None,0.730000000000000,1809,1,1,0.730000000000000,0.0492368,2310,1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCK HILL,DR,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,1809,5,6,6,8,0.5000000,0.5980000,0.5980000,0.7940000,-122.9366302,44.4924164,6.2500000,0.7305883,0.0492368
38,2010,9,492405,4927900,Site-010,Legacy,None,-123.090000000000003,44.500000000000000,None,9.190000000000000,0.100000000000000,None,0.750000000000000,801,1,1,0.750000000000000,0.2564180,1099,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRIVER,RD,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,801,5,7,6,8,0.5000000,0.6960000,0.5980000,0.7940000,-123.0955429,44.5044250,6.5000000,0.7594118,0.2564180
39,2011,10,486916,4904030,Site-011,Legacy,None,-123.159999999999997,44.280000000000001,None,7.730000000000000,0.120000000000000,None,0.900000000000000,1505,1,1,0.900000000000000,0.2814671,1954,1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TANDY,LN,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,1505,7,8,8,8,0.6960000,0.7940000,0.7940000,0.7940000,-123.1639862,44.2894325,7.7500000,0.9035294,0.2814671
40,2012,11,491361,4910540,Site-012,Legacy,None,-123.099999999999994,44.340000000000003,None,7.730000000000000,0.120000000000000,None,0.900000000000000,5144,1,1,0.900000000000000,0.3088026,6619,5843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALBANY-JUNCTION CITY,HWY,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,5144,7,8,8,8,0.6960000,0.7940000,0.7940000,0.7940000,-123.1083832,44.3481140,7.7500000,0.9035294,0.3088026
41,2013,12,498787,4941080,Site-013,Legacy,None,-123.010000000000005,44.619999999999997,None,9.560000000000000,0.100000000000000,None,0.730000000000000,1717,1,1,0.730000000000000,0.0000000,2199,1423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EICHER,RD,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,1717,6,6,6,7,0.5980000,0.5980000,0.5980000,0.6960000,-123.0152893,44.6230316,6.2500000,0.7305883,0.0000000
42,2014,13,489298,4942050,Site-014,Legacy,None,-123.129999999999995,44.630000000000003,None,7.980000000000000,0.120000000000000,None,0.870000000000000,2432,1,1,0.870000000000000,0.1517127,3066,2290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRYANT,DR,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,2432,8,7,7,8,0.7940000,0.6960000,0.6960000,0.7940000,-123.1349258,44.6317520,7.5000000,0.8747059,0.1517127
43,2015,14,487087,4918930,Site-015,Legacy,None,-123.159999999999997,44.420000000000002,None,9.190000000000000,0.100000000000000,None,0.750000000000000,4705,1,1,0.750000000000000,0.0005446,6038,5262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POTTER,RD,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,4705,5,7,7,7,0.5000000,0.6960000,0.6960000,0.6960000,-123.1622162,44.4235764,6.5000000,0.7594118,0.0005446
44,2016,15,496874,4922220,Site-016,Legacy,None,-123.030000000000001,44.450000000000003,None,8.250000000000000,0.120000000000000,None,0.840000000000000,1122,1,1,0.840000000000000,0.2498530,1489,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEVEN MILE,LN,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,1122,6,8,7,8,0.5980000,0.7940000,0.6960000,0.7940000,-123.0392838,44.4533234,7.2500000,0.8458824,0.2498530
45,2017,16,501891,4943810,Site-017,Legacy,None,-122.969999999999999,44.640000000000001,None,8.539999999999999,0.110000000000000,None,0.810000000000000,764,1,1,0.810000000000000,0.0995800,1050,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LICKSKILLET,RD,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,764,6,7,7,8,0.5980000,0.6960000,0.6960000,0.7940000,-122.9761581,44.6476822,7.0000000,0.8170588,0.0995800
46,2018,17,498963,4918770,Site-018,Legacy,None,-123.010000000000005,44.420000000000002,None,8.859999999999999,0.110000000000000,None,0.780000000000000,2541,1,1,0.780000000000000,0.1836003,3189,2413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEVEN MILE,LN,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,2541,5,8,6,8,0.5000000,0.7940000,0.5980000,0.7940000,-123.0130310,44.4222488,6.7500000,0.7882353,0.1836003
47,2019,18,491695,4959290,Site-019,Legacy,None,-123.099999999999994,44.780000000000001,None,10.380000000000001,0.090000000000000,None,0.670000000000000,5103,1,1,0.670000000000000,0.0000000,6541,5765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUENA VISTA,RD,S,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,5103,5,5,6,7,0.5000000,0.5000000,0.5980000,0.6960000,-123.1049881,44.7869835,5.7500000,0.6729411,0.0000000
48,2020,19,494202,4886270,Site-020,Legacy,None,-123.069999999999993,44.119999999999997,None,7.980000000000000,0.120000000000000,None,0.870000000000000,3278,1,1,0.870000000000000,0.1278360,4130,3354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNKE,RD,,,,07/22/2019,1256.637061435917303,125663.706143591727596,2,3278,7,7,8,8,0.6960000,0.6960000,0.7940000,0.7940000,-123.0724792,44.1295662,7.5000000,0.8747059,0.1278360
