OBJECTID,ORIG_FID,ID,FEATTYP,FT,F_JNCTID,F_JNCTTYP,T_JNCTID,T_JNCTTYP,PJ,METERS,FRC,NETCLASS,NETBCLASS,NET2CLASS,SOL,NAMETYP,CHARGE,SHIELDNUM,RTETYP,RTEDIR,RTEDIRVD,PROCSTAT,FOW,SLIPRD,FREEWAY,BACKRD,TOLLRD,RDCOND,STUBBLE,PRIVATERD,CONSTATUS,ONEWAY,F_BP,T_BP,F_ELEV,T_ELEV,KPH,MINUTES,POSACCUR,CARRIAGE,LANES,RAMP,ADAS,TRANS,DYNSPEED,SPEEDCAT,NTHRUTRAF,ROUGHRD,PARTSTRUC,STATE,FULLNAME,PREFIX,PRETYPE,NAME,TYPE,SUFFIX,NAME_DIR,NAMELC,GIS_PRC_DT,recovery_zone,unique_ID,max_2017,max_2018,max_2020,max_2021,max_2017_scaled,max_2018_scaled,max_2020_scaled,max_2021_scaled,X_coord,Y_coord,four_year_avg,four_year_avg_scaled,pct_suitable_2021,UTM_X,UTM_Y,Shape_Length,Shape_Area,surveyed_2022,num_birds_2022
13,30,488400000921690,4110,0,488400200152565,0,488400200150636,0,0,799.600000000000023,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,1.500000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Masonville Rd,SW, ,Masonville,Rd, ,,en,,1,13,5,7,5,6,0.5000000,0.6960000,0.5000000,0.5980000,-123.2838974,45.1752892,5.7500000,0.6729411,0.0000000,477692.7812500,5002462.0000000,1256.637061435917303,125663.706143591727596,0,
14,31,488400000390812,4110,0,488400200157651,0,488400200144023,0,0,836.399999999999977,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,1.569000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW McCabe Chapel Rd,SW, ,McCabe Chapel,Rd, ,,en,,1,14,0,0,0,0,0.0100000,0.0100000,0.0100000,0.0100000,-123.2848816,45.1700897,0.0000000,0.0100000,0.0000000,477613.3437500,5001885.0000000,1256.637061435917303,125663.706143591727596,0,
15,32,488400000917416,4110,0,488400200147182,0,488400200158500,0,0,894.200000000000045,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,1.677000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW McCabe Chapel Rd,SW, ,McCabe Chapel,Rd, ,,en,,3,15,6,6,7,7,0.5980000,0.5980000,0.6960000,0.6960000,-123.2796783,45.1564064,6.5000000,0.7594118,0.0033655,478017.2812500,5000363.5000000,1256.637061435917303,125663.706143591727596,0,
16,33,488400000924210,4110,0,488400200158500,0,488400200147509,0,0,1161.299999999999955,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,2.178000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW McCabe Chapel Rd,SW, ,McCabe Chapel,Rd, ,,en,,1,16,7,7,6,7,0.6960000,0.6960000,0.5980000,0.6960000,-123.2792206,45.1641998,6.7500000,0.7882353,0.0005449,478056.0625000,5001229.0000000,1256.637061435917303,125663.706143591727596,0,
17,34,488400000917349,4110,0,488400200153070,0,488400200148097,0,0,787.600000000000023,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,1.478000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Oldsville Rd,SW, ,Oldsville,Rd, ,,en,,3,17,7,7,6,8,0.6960000,0.6960000,0.5980000,0.7940000,-123.2811203,45.1483040,7.0000000,0.8170588,0.1450595,477900.9375000,4999464.0000000,1256.637061435917303,125663.706143591727596,0,
18,37,488400000924466,4110,0,488400200158121,0,488400200156280,0,0,1939.900000000000091,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,3.638000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Sauter Rd,SW, ,Sauter,Rd, ,,en,,3,18,8,8,6,8,0.7940000,0.7940000,0.5980000,0.7940000,-123.2813644,45.1303482,7.5000000,0.8747059,0.0769837,477874.7812500,4997469.0000000,1256.637061435917303,125663.706143591727596,0,
19,38,488400000924466,4110,0,488400200158121,0,488400200156280,0,0,1939.900000000000091,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,3.638000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Sauter Rd,SW, ,Sauter,Rd, ,,en,,3,19,3,6,6,8,0.3040000,0.5980000,0.5980000,0.7940000,-123.2893372,45.1310349,5.7500000,0.6729411,0.1023533,477247.7812500,4997547.5000000,1256.637061435917303,125663.706143591727596,0,
20,39,488400000917422,4110,0,488400200160462,0,488400200145570,0,0,688.200000000000045,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,1.291000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Youngberg Hill Rd,SW, ,Youngberg Hill,Rd, ,,en,,1,20,5,5,6,6,0.5000000,0.5000000,0.5980000,0.5980000,-123.2793274,45.1793022,5.5000000,0.6441177,0.0000000,478053.2812500,5002906.5000000,1256.637061435917303,125663.706143591727596,0,
21,40,488400000917451,4110,0,488400200157063,0,488400200143803,0,0,843.000000000000000,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,1.582000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Youngberg Hill Rd,SW, ,Youngberg Hill,Rd, ,,en,,1,21,0,0,0,0,0.0100000,0.0100000,0.0100000,0.0100000,-123.2711487,45.1851692,0.0000000,0.0100000,0.0000000,478698.0312500,5003556.5000000,1256.637061435917303,125663.706143591727596,0,
22,41,488400000917347,4110,0,488400200160993,0,488400200160403,0,0,1241.799999999999955,7,0,0,4,0,17, , ,0, , ,1,3,0,0,5, ,1,0,0, ,,0,0,0,0,24,3.104000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Dusty Dr,SW, ,Dusty,Dr, ,,en,,3,22,6,7,5,7,0.5980000,0.6960000,0.5000000,0.6960000,-123.2978287,45.1429253,6.2500000,0.7305883,0.0058435,476584.7812500,4998871.0000000,1256.637061435917303,125663.706143591727596,0,
23,42,488400000917450,4110,0,488400200158970,0,488400200155812,0,0,1473.099999999999909,7,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,24,3.683000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Handley Ln,SW, ,Handley,Ln, ,,en,,1,23,6,8,7,8,0.5980000,0.7940000,0.6960000,0.7940000,-123.2653656,45.1755676,7.2500000,0.8458824,0.0409854,479149.3437500,5002488.0000000,1256.637061435917303,125663.706143591727596,0,
24,43,488400000917450,4110,0,488400200158970,0,488400200155812,0,0,1473.099999999999909,7,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,24,3.683000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Handley Ln,SW, ,Handley,Ln, ,,en,,1,24,6,6,6,7,0.5980000,0.5980000,0.5980000,0.6960000,-123.2672119,45.1809959,6.2500000,0.7305883,0.0015949,479006.2500000,5003091.5000000,1256.637061435917303,125663.706143591727596,0,
25,44,488400000919390,4110,0,488400200156253,0,488400200152060,0,0,873.799999999999955,7,0,0,5,0,0, , ,0, , ,1,3,0,0,6, ,1,0,0, ,,0,0,0,0,24,2.184000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon, ,,, ,,,, ,,1,25,4,7,5,8,0.4020000,0.6960000,0.5000000,0.7940000,-123.3066330,45.1749611,6.0000000,0.7017647,0.0005449,475906.2500000,5002432.5000000,1256.637061435917303,125663.706143591727596,0,
26,45,488400000919537,4110,0,488400200147589,0,488400200144866,0,0,733.200000000000045,7,0,0,5,0,0, , ,0, , ,1,3,0,0,5, ,1,0,0, ,,0,0,0,0,24,1.832000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon, ,,, ,,,, ,,1,26,7,6,6,6,0.6960000,0.5980000,0.5980000,0.5980000,-123.2916260,45.1835823,6.2500000,0.7305883,0.0000000,477088.7500000,5003386.0000000,1256.637061435917303,125663.706143591727596,0,
27,46,488400000919591,4110,0,488400200150967,0,488400200161415,0,0,1044.000000000000000,7,0,0,5,0,0, , ,0, , ,1,3,0,0,3, ,1,0,0, ,,0,0,0,0,24,2.609000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon, ,,, ,,,, ,,3,27,8,7,4,7,0.7940000,0.6960000,0.4020000,0.6960000,-123.2988281,45.1233330,6.5000000,0.7594118,0.0001000,476498.1250000,4996695.0000000,1256.637061435917303,125663.706143591727596,0,
28,48,488400000926000,4110,0,488400200160232,0,488400200144496,0,0,928.600000000000023,7,0,0,5,0,0, , ,0, , ,1,3,0,0,5, ,1,0,0, ,,0,0,0,0,24,2.321000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon, ,,, ,,,, ,,1,28,5,6,5,7,0.5000000,0.5980000,0.5000000,0.6960000,-123.3072510,45.1667213,5.7500000,0.6729411,0.0000000,475854.5312500,5001517.5000000,1256.637061435917303,125663.706143591727596,0,
29,58,488400000924307,4110,0,488400200072735,0,488400200152081,0,0,700.700000000000045,3,0,0,2,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,56,0.750000000000000,0, ,0,0,0,0,0,5,0,0,0,Oregon,W Valley Hwy,W, ,Valley,Hwy, ,,en,,3,29,0,0,0,0,0.0100000,0.0100000,0.0100000,0.0100000,-123.3828430,45.0976410,0.0000000,0.0100000,0.0000000,469877.6875000,4993868.5000000,1256.637061435917303,125663.706143591727596,0,
30,60,488400000877457,4110,0,488400200143612,0,488400200160161,0,0,1055.700000000000045,4,0,0,2,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,48,1.320000000000000,0, ,0,0,0,0,0,6,0,0,0,Oregon,SW Ballston Rd,SW, ,Ballston,Rd, ,,en,,3,30,6,6,5,6,0.5980000,0.5980000,0.5000000,0.5980000,-123.3657227,45.0758514,5.7500000,0.6729411,0.0000000,471213.6875000,4991441.5000000,1256.637061435917303,125663.706143591727596,0,
31,63,488400000917307,4110,0,488400200155556,0,488400200145707,0,0,693.399999999999977,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,1.300000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Christensen Rd,SW, ,Christensen,Rd, ,,en,,3,31,8,6,8,8,0.7940000,0.5980000,0.7940000,0.7940000,-123.3158340,45.1009712,7.5000000,0.8747059,0.0424787,475151.1562500,4994215.5000000,1256.637061435917303,125663.706143591727596,0,
32,64,488400000921674,4110,0,488400200147538,0,488400200155556,0,0,1232.599999999999909,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,1,0,32,2.312000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Dejong Rd,SW, ,Dejong,Rd, ,,en,,3,32,6,5,5,7,0.5980000,0.5000000,0.5000000,0.6960000,-123.3240967,45.0957527,5.7500000,0.6729411,0.0000000,474498.7187500,4993638.5000000,1256.637061435917303,125663.706143591727596,0,
33,65,488400000924867,4110,0,488400200067689,0,488400200147538,0,0,1702.700000000000045,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,1,32,3.194000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Dejong Rd,SW, ,Dejong,Rd, ,,en,,3,33,5,7,6,8,0.5000000,0.6960000,0.5980000,0.7940000,-123.3213043,45.0809784,6.5000000,0.7594118,0.2061818,474711.9062500,4991996.5000000,1256.637061435917303,125663.706143591727596,0,
34,66,488400000924867,4110,0,488400200067689,0,488400200147538,0,0,1702.700000000000045,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,1,32,3.194000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Dejong Rd,SW, ,Dejong,Rd, ,,en,,3,34,6,6,6,7,0.5980000,0.5980000,0.5980000,0.6960000,-123.3211823,45.0868301,6.2500000,0.7305883,0.0005449,474724.0000000,4992646.0000000,1256.637061435917303,125663.706143591727596,0,
35,68,488400000921625,4110,0,488400200159722,0,488400200148264,0,0,877.000000000000000,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,1.644000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Dent Rd,SW, ,Dent,Rd, ,,en,,3,35,7,7,7,7,0.6960000,0.6960000,0.6960000,0.6960000,-123.5062256,45.0866890,7.0000000,0.8170588,0.0000000,460162.0937500,4992705.0000000,1256.637061435917303,125663.706143591727596,0,
36,69,488400000921641,4110,0,488400200160185,0,488400200157313,0,0,1082.700000000000045,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,2.030000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Fort Hill Rd,SW, ,Fort Hill,Rd, ,,en,,3,36,0,0,0,0,0.0100000,0.0100000,0.0100000,0.0100000,-123.5097885,45.0908356,0.0000000,0.0100000,0.0000000,459884.5312500,4993167.5000000,1256.637061435917303,125663.706143591727596,0,
37,70,488400000922194,4110,0,488400200146795,0,488400200162236,0,0,835.500000000000000,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,1.567000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Fort Hill Rd,SW, ,Fort Hill,Rd, ,,en,,3,37,8,8,8,10,0.7940000,0.7940000,0.7940000,0.9900000,-123.4990463,45.0866013,8.5000000,0.9900000,0.0799269,460726.6562500,4992692.0000000,1256.637061435917303,125663.706143591727596,0,
38,71,488400000917235,4110,0,488400200150532,0,488400200154404,0,0,1602.299999999999955,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,3.006000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Gopher Valley Rd,SW, ,Gopher Valley,Rd, ,,en,,3,38,8,5,8,6,0.7940000,0.5000000,0.7940000,0.5980000,-123.3544083,45.1041374,6.7500000,0.7882353,0.0000000,472117.9687500,4994580.0000000,1256.637061435917303,125663.706143591727596,0,
39,72,488400000917235,4110,0,488400200150532,0,488400200154404,0,0,1602.299999999999955,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,3.006000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Gopher Valley Rd,SW, ,Gopher Valley,Rd, ,,en,,3,39,8,8,8,7,0.7940000,0.7940000,0.7940000,0.6960000,-123.3577881,45.1094742,7.7500000,0.9035294,0.0005449,471854.3437500,4995174.0000000,1256.637061435917303,125663.706143591727596,0,
40,73,488400000917236,4110,0,488400200144098,0,488400200151572,0,0,1226.099999999999909,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,2.299000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Gopher Valley Rd,SW, ,Gopher Valley,Rd, ,,en,,3,40,0,0,0,0,0.0100000,0.0100000,0.0100000,0.0100000,-123.3669357,45.1157990,0.0000000,0.0100000,0.0000000,471138.1562500,4995880.0000000,1256.637061435917303,125663.706143591727596,0,
41,74,488400000921660,4110,0,488400200161437,0,488400200143692,0,0,944.399999999999977,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,1.771000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Grauer Rd,SW, ,Grauer,Rd, ,,en,,3,41,0,0,0,0,0.0100000,0.0100000,0.0100000,0.0100000,-123.3614426,45.1199608,0.0000000,0.0100000,0.0000000,471572.5000000,4996340.5000000,1256.637061435917303,125663.706143591727596,0,
42,75,488400000917238,4110,0,488400200144966,0,488400200150066,0,0,723.500000000000000,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,1.356000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Latham Rd,SW, ,Latham,Rd, ,,en,,3,42,0,0,0,0,0.0100000,0.0100000,0.0100000,0.0100000,-123.3531647,45.1223221,0.0000000,0.0100000,0.0000000,472224.6562500,4996599.5000000,1256.637061435917303,125663.706143591727596,0,
43,76,488400000917314,4110,0,488400200161688,0,488400200147683,0,0,837.500000000000000,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,1.570000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Latham Rd,SW, ,Latham,Rd, ,,en,,3,43,7,8,7,7,0.6960000,0.7940000,0.6960000,0.6960000,-123.3307648,45.1172028,7.2500000,0.8458824,0.0501829,473983.8125000,4996023.5000000,1256.637061435917303,125663.706143591727596,0,
44,77,488400000921342,4110,0,488400200161688,0,488400200144966,0,0,655.899999999999977,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,1.230000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Latham Rd,SW, ,Latham,Rd, ,,en,,3,44,0,0,0,0,0.0100000,0.0100000,0.0100000,0.0100000,-123.3465195,45.1190300,0.0000000,0.0100000,0.0000000,472745.5312500,4996231.5000000,1256.637061435917303,125663.706143591727596,0,
45,78,488400000921676,4110,0,488400200147683,0,488400200148787,0,0,766.000000000000000,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,0,0,32,1.437000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Latham Rd,SW, ,Latham,Rd, ,,en,,3,45,5,5,4,8,0.5000000,0.5000000,0.4020000,0.7940000,-123.3200836,45.1172714,5.5000000,0.6441177,0.1194458,474823.8750000,4996028.0000000,1256.637061435917303,125663.706143591727596,0,
46,79,488400001225066,4110,0,488400200158260,0,488400200156484,0,0,3820.199999999999818,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,1,0,32,7.166000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Loganberry Ln,SW, ,Loganberry,Ln, ,,en,,3,46,5,5,6,7,0.5000000,0.5000000,0.5980000,0.6960000,-123.3399353,45.0824699,5.7500000,0.6729411,0.0005449,473246.5625000,4992168.0000000,1256.637061435917303,125663.706143591727596,0,
47,80,488400001225066,4110,0,488400200158260,0,488400200156484,0,0,3820.199999999999818,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,1,0,32,7.166000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Loganberry Ln,SW, ,Loganberry,Ln, ,,en,,3,47,8,7,4,7,0.7940000,0.6960000,0.4020000,0.6960000,-123.3428574,45.0863113,6.5000000,0.7594118,0.0037302,473017.9375000,4992595.5000000,1256.637061435917303,125663.706143591727596,1,0
48,81,488400001225066,4110,0,488400200158260,0,488400200156484,0,0,3820.199999999999818,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,1,0,32,7.166000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Loganberry Ln,SW, ,Loganberry,Ln, ,,en,,3,48,5,8,5,7,0.5000000,0.7940000,0.5000000,0.6960000,-123.3509827,45.0872726,6.2500000,0.7305883,0.0000000,472379.0625000,4992705.0000000,1256.637061435917303,125663.706143591727596,0,
49,82,488400001225066,4110,0,488400200158260,0,488400200156484,0,0,3820.199999999999818,6,0,0,4,0,17, , ,0, , ,1,3,0,0,0, ,1,0,0, ,,0,0,1,0,32,7.166000000000000,0, ,0,0,0,0,0,7,0,0,0,Oregon,SW Loganberry Ln,SW, ,Loganberry,Ln, ,,en,,3,49,6,8,5,6,0.5980000,0.7940000,0.5000000,0.5980000,-123.3589249,45.0885277,6.2500000,0.7305883,0.0000000,471754.6562500,4992847.5000000,1256.637061435917303,125663.706143591727596,0,
