Lark_ID,firstInterval,firstDet,surveyEvent,unique_ID,Survey_Event_ID,Observer,Survey_Date,Survey_Time,Wind,Temp,Sky_Code,Avg_Noise,Max_Noise,OVSP?,Site_Comments,Number_Detected,Expr1014,Individual_ID,Sex,Age,distanceBand,Interval_1,Interval_2,Interval_3,Interval_4,Notes,Count_Date,Start_Time,Site_ID,dayOfYear,surveyYear,sunrise,mas
13,4,Singing,22_3_4874,4874,24,MLG,6/10/2022,05:40:00,3,61.3,Mostly cloudy,40.2,71,0,"Elevated road with tall grass on both sides, 4m of bare gravel/dirt ditch on either side of the road. Other species noted: WEME, SASP, NOHA, RWBL, MAKE",4,13,4,Male,Adult,2,NA,NA,NA,Singing,NA,2022-06-10,5H 40M 0S,4874,161,2022,2022-06-10T12:29:36Z,11.000000000000014
14,2,Singing,22_2_4416,4416,31,MLG,6/13/2022,07:29:00,5.6,50.9,Drizzle,67.9,99,0,"Park in gravel pullout north of point. Diamond hill wetlands to northeast, stubble field to south. Field is pretty wet after the rain. Other species noted: 12 KILL, 5 BAEA",2,14,1,Male,Adult,2,NA,Singing,Visual,Singing,NA,2022-06-13,7H 29M 0S,4416,164,2022,2022-06-13T12:29:11Z,120
15,3,Singing,22_2_4416,4416,31,MLG,6/13/2022,07:29:00,5.6,50.9,Drizzle,67.9,99,0,"Park in gravel pullout north of point. Diamond hill wetlands to northeast, stubble field to south. Field is pretty wet after the rain. Other species noted: 12 KILL, 5 BAEA",2,15,2,Male,Adult,3,NA,NA,Singing,Singing,NA,2022-06-13,7H 29M 0S,4416,164,2022,2022-06-13T12:29:11Z,120
16,1,Singing,22_2_2010,2010,33,MLG,6/13/2022,08:17:00,2.8,59.6,Mostly cloudy,55.9,84,0,"Point by a house. Tall grass fields on both sides of the road, ditch with running water to the west. Lark singing from bare dirt next to water, out of view due to grass. BAEA in the snag",1,16,1,Male,Adult,2,Singing,NA,Calling,Calling,NA,2022-06-13,8H 17M 0S,2010,164,2022,2022-06-13T12:29:11Z,168
17,2,Calling,22_3_0900,900,38,MLG,6/14/2022,07:09:00,2.2,54.2,Drizzle,66.5,90,0,"Gravel road with trees along the fence to east of point, short but dense meadowfoam in the west side",1,17,1,Unknown,Adult,2,NA,Calling,NA,NA,In flight,2022-06-14,7H 9M 0S,900,165,2022,2022-06-14T12:29:06Z,100.00000000000001
18,2,Singing,22_3_3653,3653,40,MLG,6/14/2022,08:00:00,2.1,57.8,Drizzle,49.9,70,0,"Gravel road with vineyard on both sides. Short to high greass on roadside. Before the survey, SHLA were flushed further up the road. Sunny but also drizzling. Other species: TUVU, CHSP, WCSP, MAKE, AMRO, BHGR, RUHU",1,18,1,Male,Adult,3,NA,Singing,NA,NA,NA,2022-06-14,8H 0M 0S,3653,165,2022,2022-06-14T12:29:06Z,151
19,2,Singing,22_3_1055,1055,42,MLG,6/16/2022,05:42:00,0,56.5,Mostly cloudy,39,59,0,Mowed shoulder. ~3m berm on east side blocking view of a gravel road. Hedge and trees to the west.,2,19,1,Male,Adult,3,NA,Singing,Singing,NA,NA,2022-06-16,5H 42M 0S,1055,167,2022,2022-06-16T12:29:05Z,13.000000000000007
20,3,Singing,22_3_1055,1055,42,MLG,6/16/2022,05:42:00,0,56.5,Mostly cloudy,39,59,0,Mowed shoulder. ~3m berm on east side blocking view of a gravel road. Hedge and trees to the west.,2,20,2,Male,Adult,2,NA,NA,Singing,Singing,NA,2022-06-16,5H 42M 0S,1055,167,2022,2022-06-16T12:29:05Z,13.000000000000007
21,1,Visual,22_3_4725,4725,44,MLG,6/16/2022,06:22:00,1.5,54.2,Mostly cloudy,81.4,101,0,"Point near a 3 way intersection. 3 tall grass fields, some bare spots on roadside. Mowed shoulder. Lark did aerial display for 2 minutes before landing near my car at gravel field entrance.",2,21,1,Male,Adult,1,Visual,Visual,Visual,Singing,feeding on ground before Skylarking behavior,2022-06-16,6H 22M 0S,4725,167,2022,2022-06-16T12:29:05Z,52.99999999999997
22,3,Singing,22_3_4725,4725,44,MLG,6/16/2022,06:22:00,1.5,54.2,Mostly cloudy,81.4,101,0,"Point near a 3 way intersection. 3 tall grass fields, some bare spots on roadside. Mowed shoulder. Lark did aerial display for 2 minutes before landing near my car at gravel field entrance.",2,22,2,Male,Adult,2,NA,NA,Singing,Singing,Countersinging with male 1,2022-06-16,6H 22M 0S,4725,167,2022,2022-06-16T12:29:05Z,52.99999999999997
23,4,Visual,22_3_5252,5252,45,MLG,6/16/2022,06:50:00,2,57.5,Partly cloudy,76.6,101,0,"Grass fields on both sides of the road. Gravel shoulder and bare ground inside fences. Other species: NOHA, AMGO, SASP, BAEA, WEWP, SOSP",1,23,1,Unknown,Adult,4,NA,NA,NA,Visual,"Bounding flight, black retricies",2022-06-16,6H 50M 0S,5252,167,2022,2022-06-16T12:29:05Z,80.99999999999997
24,3,Singing,22_2_1505,1505,52,MLG,6/16/2022,09:27:00,2.4,61.8,Mostly cloudy,69.5,101,0,"Tall grass field to west, houses to east",1,24,1,Male,Adult,3,NA,NA,Singing,Singing,NA,2022-06-16,9H 27M 0S,1505,167,2022,2022-06-16T12:29:05Z,237.99999999999994
25,1,Calling,22_2_3690,3690,65,MLG,6/18/2022,06:31:00,1.2,51.9,Mostly cloudy,47.6,68,0,"Tall grass field to west, mowed grass to east with bare/wet patches. Gravel shoulder",4,25,1,Male,Adult,2,Calling,Singing,Calling,NA,NA,2022-06-18,6H 31M 0S,3690,169,2022,2022-06-18T12:29:12Z,61.99999999999999
26,1,Singing,22_2_3690,3690,65,MLG,6/18/2022,06:31:00,1.2,51.9,Mostly cloudy,47.6,68,0,"Tall grass field to west, mowed grass to east with bare/wet patches. Gravel shoulder",4,26,2,Male,Adult,3,Singing,Singing,NA,NA,NA,2022-06-18,6H 31M 0S,3690,169,2022,2022-06-18T12:29:12Z,61.99999999999999
27,4,Visual,22_2_3690,3690,65,MLG,6/18/2022,06:31:00,1.2,51.9,Mostly cloudy,47.6,68,0,"Tall grass field to west, mowed grass to east with bare/wet patches. Gravel shoulder",4,27,3,Male,Adult,2,NA,NA,NA,Visual,NA,2022-06-18,6H 31M 0S,3690,169,2022,2022-06-18T12:29:12Z,61.99999999999999
28,4,Visual,22_2_3690,3690,65,MLG,6/18/2022,06:31:00,1.2,51.9,Mostly cloudy,47.6,68,0,"Tall grass field to west, mowed grass to east with bare/wet patches. Gravel shoulder",4,28,4,Female,Adult,2,NA,NA,NA,Visual,Feeding near male 3,2022-06-18,6H 31M 0S,3690,169,2022,2022-06-18T12:29:12Z,61.99999999999999
29,3,Singing,22_2_1376,1376,86,MLG,6/20/2022,07:05:00,1.5,52.7,Mostly cloudy,73,94,0,"Filberts (<1.5m tall on east side with mostly bare ground underneath, tall grass field on west side. Gravel shoulder.",3,29,1,Male,Adult,2,NA,NA,Singing,Singing,NA,2022-06-20,7H 5M 0S,1376,171,2022,2022-06-20T12:29:28Z,95.99999999999997
30,4,Singing,22_2_1376,1376,86,MLG,6/20/2022,07:05:00,1.5,52.7,Mostly cloudy,73,94,0,"Filberts (<1.5m tall on east side with mostly bare ground underneath, tall grass field on west side. Gravel shoulder.",3,30,2,Male,Adult,2,NA,NA,NA,Singing,NA,2022-06-20,7H 5M 0S,1376,171,2022,2022-06-20T12:29:28Z,95.99999999999997
31,4,Singing,22_2_1376,1376,86,MLG,6/20/2022,07:05:00,1.5,52.7,Mostly cloudy,73,94,0,"Filberts (<1.5m tall on east side with mostly bare ground underneath, tall grass field on west side. Gravel shoulder.",3,31,3,Male,Adult,1,NA,NA,NA,Singing,NA,2022-06-20,7H 5M 0S,1376,171,2022,2022-06-20T12:29:28Z,95.99999999999997
32,2,Singing,22_3_4449,4449,91,MLG,6/22/2022,05:41:00,1.1,54.6,Clear,41.3,67,0,"Clover on south side, tall grass on the north side. Trees ~100m to west. Gravel road. Bare spot with some water to the southeast, lots of killdeer in it. Also a skunk burrow near the road.",1,32,1,Male,Adult,2,NA,Singing,Calling,Calling,NA,2022-06-22,5H 41M 0S,4449,173,2022,2022-06-22T12:29:53Z,12.00000000000001
33,4,Visual,22_3_1398,1398,92,MLG,6/22/2022,05:57:00,1.3,55.1,Clear,51.5,88,0,"Fallow field to the north, tall grass field to the south. Gravel road. 
Other species: CORA, SASP, WCSP, KILL, CLSW",2,33,1,Male,Adult,2,NA,NA,NA,Visual,NA,2022-06-22,5H 57M 0S,1398,173,2022,2022-06-22T12:29:53Z,28.000000000000007
34,4,Visual,22_3_1398,1398,92,MLG,6/22/2022,05:57:00,1.3,55.1,Clear,51.5,88,0,"Fallow field to the north, tall grass field to the south. Gravel road. 
Other species: CORA, SASP, WCSP, KILL, CLSW",2,34,2,Female,Adult,2,NA,NA,NA,Visual,NA,2022-06-22,5H 57M 0S,1398,173,2022,2022-06-22T12:29:53Z,28.000000000000007
35,1,Singing,22_3_3367,3367,95,MLG,6/22/2022,06:58:00,3.9,60.9,Clear,69.4,93,0,"3 foot high xmas trees on both sides, tall grass to southeast. On a curve of busy road.
Other species: WCSP, YEWA, KILL, NOHA",3,35,1,Male,Adult,2,Singing,Singing,NA,NA,NA,2022-06-22,6H 58M 0S,3367,173,2022,2022-06-22T12:29:53Z,89
36,2,Singing,22_3_3367,3367,95,MLG,6/22/2022,06:58:00,3.9,60.9,Clear,69.4,93,0,"3 foot high xmas trees on both sides, tall grass to southeast. On a curve of busy road.
Other species: WCSP, YEWA, KILL, NOHA",3,36,2,Male,Adult,2,NA,Singing,NA,NA,NA,2022-06-22,6H 58M 0S,3367,173,2022,2022-06-22T12:29:53Z,89
37,4,Singing,22_3_3367,3367,95,MLG,6/22/2022,06:58:00,3.9,60.9,Clear,69.4,93,0,"3 foot high xmas trees on both sides, tall grass to southeast. On a curve of busy road.
Other species: WCSP, YEWA, KILL, NOHA",3,37,3,Male,Adult,3,NA,NA,NA,Singing,NA,2022-06-22,6H 58M 0S,3367,173,2022,2022-06-22T12:29:53Z,89
38,1,Singing,22_3_2946,2946,96,MLG,6/22/2022,07:16:00,2.7,62,Clear,74.9,91,0,"Short xmas trees to east, >1m tall ones to west. Narrow gravel shoulder, some bare ground
Other species: HOFI, HOWR, WCSP",3,38,1,Male,Adult,2,Singing,NA,NA,NA,NA,2022-06-22,7H 16M 0S,2946,173,2022,2022-06-22T12:29:53Z,107
39,1,Singing,22_3_2946,2946,96,MLG,6/22/2022,07:16:00,2.7,62,Clear,74.9,91,0,"Short xmas trees to east, >1m tall ones to west. Narrow gravel shoulder, some bare ground
Other species: HOFI, HOWR, WCSP",3,39,2,Male,Adult,3,Singing,NA,NA,NA,NA,2022-06-22,7H 16M 0S,2946,173,2022,2022-06-22T12:29:53Z,107
40,2,Singing,22_3_2946,2946,96,MLG,6/22/2022,07:16:00,2.7,62,Clear,74.9,91,0,"Short xmas trees to east, >1m tall ones to west. Narrow gravel shoulder, some bare ground
Other species: HOFI, HOWR, WCSP",3,40,3,Male,Adult,2,NA,Singing,NA,Calling,NA,2022-06-22,7H 16M 0S,2946,173,2022,2022-06-22T12:29:53Z,107
41,2,Calling,22_2_5246,5246,105,MLG,6/23/2022,07:08:00,3.1,53.9,Clear,41.4,62,0,"Near an ag complex. Tall grass to north, half tall grass half short to south. Gravel shoulder.
Other species: SASP, WCSP, CLSW",1,41,1,Unknown,Adult,2,NA,Calling,NA,NA,NA,2022-06-23,7H 8M 0S,5246,174,2022,2022-06-23T12:30:08Z,98.00000000000003
42,2,Singing,22_2_1816,1816,106,MLG,6/23/2022,07:25:00,4.9,55.2,Clear,63.5,91,0,"Mowed field to south, tall grass to north. Bare field to east.
Other species: KILL, EUCD, RTHA",2,42,1,Male,Adult,3,NA,Singing,NA,NA,NA,2022-06-23,7H 25M 0S,1816,174,2022,2022-06-23T12:30:08Z,115.00000000000001
43,3,Calling,22_2_1816,1816,106,MLG,6/23/2022,07:25:00,4.9,55.2,Clear,63.5,91,0,"Mowed field to south, tall grass to north. Bare field to east.
Other species: KILL, EUCD, RTHA",2,43,2,Unknown,Adult,3,NA,NA,Calling,NA,100+ m east of the first lark,2022-06-23,7H 25M 0S,1816,174,2022,2022-06-23T12:30:08Z,115.00000000000001
44,1,Calling,22_2_5315,5315,113,MLG,6/25/2022,05:33:00,0,50.9,Clear,42.1,57,0,"Next to 2 windmills and 2 trees on south side. Tall grass field to south, recently mowed dry grass to north. Train tracks to east. Gravel road.
Other species: RTHA, BRBL, SASP, MODO, BAEA, NOHA",1,44,1,Unknown,Adult,3,Calling,Calling,NA,NA,Adult male carrying food after the survey in the area where calls were detected but no visual during survey,2022-06-25,5H 33M 0S,5315,176,2022,2022-06-25T12:30:45Z,2.9999999999999893
45,2,Singing,22_2_5383,5383,116,MLG,6/25/2022,07:17:00,0,60.2,Clear,67.5,97,0,"Tall grass to east, dry clover/grass mix to west. Barn and short grass pasture with a few small trees to northwest. Gravel shoulder
Other species: SASP, BASW",1,45,1,Male,Adult,2,NA,Singing,NA,NA,NA,2022-06-25,7H 17M 0S,5383,176,2022,2022-06-25T12:30:45Z,107
46,1,Singing,22_2_2878,2878,117,MLG,6/25/2022,07:48:00,1.2,62.2,Clear,49.2,61,0,"Tall grass field to west, short grass/ mostly bare field to east. Gravel shoulder
Other species: EUST, BASW, KILL",4,46,1,Male,Adult,2,Singing,Singing,Calling,NA,NA,2022-06-25,7H 48M 0S,2878,176,2022,2022-06-25T12:30:45Z,138
47,2,Visual,22_2_2878,2878,117,MLG,6/25/2022,07:48:00,1.2,62.2,Clear,49.2,61,0,"Tall grass field to west, short grass/ mostly bare field to east. Gravel shoulder
Other species: EUST, BASW, KILL",4,47,2,Male,Adult,3,NA,Visual,Calling,Visual,Flew in chasing a third male and female,2022-06-25,7H 48M 0S,2878,176,2022,2022-06-25T12:30:45Z,138
48,2,Visual,22_2_2878,2878,117,MLG,6/25/2022,07:48:00,1.2,62.2,Clear,49.2,61,0,"Tall grass field to west, short grass/ mostly bare field to east. Gravel shoulder
Other species: EUST, BASW, KILL",4,48,3,Female,Adult,3,NA,Visual,NA,Visual,NA,2022-06-25,7H 48M 0S,2878,176,2022,2022-06-25T12:30:45Z,138
49,2,Visual,22_2_2878,2878,117,MLG,6/25/2022,07:48:00,1.2,62.2,Clear,49.2,61,0,"Tall grass field to west, short grass/ mostly bare field to east. Gravel shoulder
Other species: EUST, BASW, KILL",4,49,4,Male,Adult,3,NA,Visual,Calling,Calling,NA,2022-06-25,7H 48M 0S,2878,176,2022,2022-06-25T12:30:45Z,138
50,3,Singing,22_3_5450,5450,138,BMW,6/13/2022,06:03:00,0,55,Partly cloudy,46,70,0,"Tall prairie restoration on one side, tall grass on the other. Wet bare areas from where the horned lark was singing over. Area where horned lark was flying over was not visible due to a hedge row, but was visible later from further down the road after the survey. Was singing high up in the sky.",1,50,1,Male,Adult,3,NA,NA,Singing,Singing,Singing high up to my South-East.,2022-06-13,6H 3M 0S,5450,164,2022,2022-06-13T12:29:11Z,33.999999999999986
51,2,Singing,22_3_3924,3924,140,BMW,6/13/2022,06:57:00,1.7,57,Partly cloudy,36,98,0,"Shrubby trees on one side, low vegetation on the other, but with a patch of blackberries blocking any visuals into the field except further down road. Gravel road.",1,51,1,Male,Adult,4,NA,Singing,NA,NA,"Singing, but barely audible.",2022-06-13,6H 57M 0S,3924,164,2022,2022-06-13T12:29:11Z,88
52,2,Singing,22_3_3930,3930,141,BMW,6/13/2022,07:22:00,5,55,Mostly cloudy,68,100,0,"One lark in the road when I pulled up, but truck behind me spooked it. Tall grass on one side, shorter grass on the other. After survey ended a 2nd female landed on the road, so likely at least two males and two females present, plus still more singing further out.  Several more (3-4) were seen another 1/2 mile or so to the north as I drove out. A well known spot for finding horned larks in Polk County. Wide gravel road.",3,52,1,Male,Adult,3,NA,Singing,Singing,Singing,Singing to my east.,2022-06-13,7H 22M 0S,3930,164,2022,2022-06-13T12:29:11Z,112.99999999999997
53,3,Visual,22_3_3930,3930,141,BMW,6/13/2022,07:22:00,5,55,Mostly cloudy,68,100,0,"One lark in the road when I pulled up, but truck behind me spooked it. Tall grass on one side, shorter grass on the other. After survey ended a 2nd female landed on the road, so likely at least two males and two females present, plus still more singing further out.  Several more (3-4) were seen another 1/2 mile or so to the north as I drove out. A well known spot for finding horned larks in Polk County. Wide gravel road.",3,53,2,Male,Adult,2,NA,NA,Visual,Visual,Seen on the gravel road to my south.,2022-06-13,7H 22M 0S,3930,164,2022,2022-06-13T12:29:11Z,112.99999999999997
54,3,Visual,22_3_3930,3930,141,BMW,6/13/2022,07:22:00,5,55,Mostly cloudy,68,100,0,"One lark in the road when I pulled up, but truck behind me spooked it. Tall grass on one side, shorter grass on the other. After survey ended a 2nd female landed on the road, so likely at least two males and two females present, plus still more singing further out.  Several more (3-4) were seen another 1/2 mile or so to the north as I drove out. A well known spot for finding horned larks in Polk County. Wide gravel road.",3,54,3,Female,Adult,2,NA,NA,Visual,Visual,"Seen on the gravel road to my south, near the male.",2022-06-13,7H 22M 0S,3930,164,2022,2022-06-13T12:29:11Z,112.99999999999997
55,1,Singing,22_3_4619,4619,143,BMW,6/13/2022,08:30:00,1.5,53.7,Mostly cloudy,37,77,0,"New hazelnuts on one side, 3-4ft tall christmas trees on the other with some grass fields further down the road. May be some bare areas between xmas trees further uphill where the larks were singing from.",2,55,1,Male,Adult,3,Singing,NA,NA,NA,Singing above small xmas trees.,2022-06-13,8H 30M 0S,4619,164,2022,2022-06-13T12:29:11Z,181
56,1,Singing,22_3_4619,4619,143,BMW,6/13/2022,08:30:00,1.5,53.7,Mostly cloudy,37,77,0,"New hazelnuts on one side, 3-4ft tall christmas trees on the other with some grass fields further down the road. May be some bare areas between xmas trees further uphill where the larks were singing from.",2,56,2,Male,Adult,3,Singing,Singing,NA,NA,Singing above small xmas trees too.,2022-06-13,8H 30M 0S,4619,164,2022,2022-06-13T12:29:11Z,181
607,3,Singing,23_3_3840,3840,230,ATC,5/3/2023,09:46:00,2.6,58.9,Mostly cloudy,65.8,85.8,0,"Dense grass to the right, airfield to the left, NOHA hunting nearby",1,607,1,Male,Adult,4,NA,NA,Singing,Visual,"song heard approaching survey point from airfield. Observed singing from the air above survey point, before flying out of detection range again",2023-05-03,9H 46M 0S,3840,123,2023,2023-05-03T13:02:11Z,224.00000000000006
608,1,Singing,23_2_5496,5496,255,ATC,5/10/2023,09:24:00,1.4,62.6,Clear,60,81.6,0,"grass seed on the right, fallow field on the left with bare groudn and bunchgrass",1,608,1,Male,Adult,4,Singing,NA,NA,NA,heard song in the distance but never got a visual,2023-05-10,9H 24M 0S,5496,130,2023,2023-05-10T12:52:57Z,212
611,1,Singing,23_2_4786,4786,290,ATC,5/24/2023,09:19:00,2.3,63.1,Clear,65.9,87.7,0,"grass seed fields in all directions with patches of bare ground, wide shoulders on side of road.",2,611,1,Male,Adult,3,Singing,Singing,NA,Visual,"heard singing from the ground, later seen skylarking",2023-05-24,9H 19M 0S,4786,144,2023,2023-05-24T12:38:30Z,221
612,1,Singing,23_2_4786,4786,290,ATC,5/24/2023,09:19:00,2.3,63.1,Clear,65.9,87.7,0,"grass seed fields in all directions with patches of bare ground, wide shoulders on side of road.",2,612,2,Male,Adult,3,Singing,Singing,NA,Singing,heard singing with other male form the ground,2023-05-24,9H 19M 0S,4786,144,2023,2023-05-24T12:38:30Z,221
615,2,Singing,23_3_5039,5039,334,JMD,5/25/2023,09:27:00,0.5,72.1,Clear,65.8,90.7,0,"Vineyard, short pea fields
Regular traffic open fields",1,615,1,Unknown,Adult,2,NA,Singing,Singing,Singing,"Hidden in pea field, no song overlap (one bird counted)",2023-05-25,9H 27M 0S,5039,145,2023,2023-05-25T12:37:42Z,229.99999999999994
622,4,Singing,23_3_4821,4821,342,JMD,5/25/2023,08:45:00,0,63.4,Clear,52.6,77.7,0,"Gravel road, got super sunny. Pond nearby, some traffic",1,622,1,Unknown,Adult,NA,NA,NA,NA,Singing,"both short and long songs heard, no visual (in grass)",2023-05-25,8H 45M 0S,4821,145,2023,2023-05-25T12:37:42Z,187.99999999999997
623,1,Singing,23_2_2145,2145,393,ATC,6/5/2023,06:33:00,1.8,56,Clear,53.6,80.3,0,"grass seed on the left, fallow field on right side, woods nearby, buildings clsoe by, gravel road",1,623,1,Male,Adult,4,Singing,Singing,Singing,Singing,"sang from the ground throughout survey, never got a visual, sounded very far away",2023-06-05,6H 33M 0S,2145,156,2023,2023-06-05T12:31:11Z,61.99999999999999
624,1,Singing,23_2_0916,916,405,ATC,6/9/2023,06:06:00,3.2,55.7,Mostly cloudy,57.3,82.8,0,"grass seed and clover, I5 nearby increases background noise",2,624,1,Male,Adult,4,Singing,Singing,NA,NA,heard song faintly in the distance,2023-06-09,6H 6M 0S,916,160,2023,2023-06-09T12:29:53Z,36.99999999999997
625,1,Singing,23_2_1929,1929,409,ATC,6/10/2023,08:42:00,6.4,74.3,Clear,69.5,87.3,0,"grass seed fields with clover a bit further away, house with sheep pasture, AMKE hunting, interrupted by conversation with motorcyclist. Flushed a pair of SHLA from the side of the road when pulling up to the point. Did not see the pair during survey.",2,625,1,Male,Adult,4,Singing,Singing,Singing,NA,head singing from the clover field,2023-06-10,8H 42M 0S,1929,161,2023,2023-06-10T12:29:40Z,192.99999999999994
626,1,Singing,23_2_1929,1929,409,ATC,6/10/2023,08:42:00,6.4,74.3,Clear,69.5,87.3,0,"grass seed fields with clover a bit further away, house with sheep pasture, AMKE hunting, interrupted by conversation with motorcyclist. Flushed a pair of SHLA from the side of the road when pulling up to the point. Did not see the pair during survey.",2,626,2,Male,Adult,3,Singing,Singing,NA,NA,heard from the gravel road running through grass field,2023-06-10,8H 42M 0S,1929,161,2023,2023-06-10T12:29:40Z,192.99999999999994
627,1,Singing,23_2_3063,3063,412,ATC,6/10/2023,06:28:00,1.9,59.5,Mostly cloudy,52.5,82.8,0,"vineyards and empty cattle pasture with low ground cover, patches of trees nearby",1,627,1,Male,Adult,3,Singing,NA,Singing,Singing,"heard singing and seen flying over pasture, lost track of them, then heard them singing from the vienyard",2023-06-10,6H 28M 0S,3063,161,2023,2023-06-10T12:29:40Z,59
632,2,Singing,23_2_0692,692,423,ATC,6/8/2023,07:48:00,2,63.9,Mostly cloudy,72.8,89.8,0,"grass seed fields, fallow field next to road, moderate traffic",2,632,1,Male,Adult,4,NA,Singing,NA,NA,heard song intermittenly but never seen. Traffic made it difficult to track distance and direction,2023-06-08,7H 48M 0S,692,159,2023,2023-06-08T12:30:09Z,138
633,1,Singing,23_2_3969,3969,424,ATC,6/8/2023,08:13:00,2,64.4,Mostly cloudy,73.6,90,0,"grass seed fields on the right, recently harvested grass seed on the left with train tracks beyond, houses and storage buildings with large paved areas, train went by during min 2-4.",1,633,1,Male,Adult,3,Singing,Singing,NA,NA,"heard at the start of survey, interrupted by train. Sounded close to the train tracks, but I never got a visual",2023-06-08,8H 13M 0S,3969,159,2023,2023-06-08T12:30:09Z,163
634,2,Singing,23_2_2728,2728,425,ATC,6/8/2023,06:14:00,1.2,63,Mostly cloudy,49.2,77.1,0,"grass seed fields in all directions, some look recently harvested, NOHA hunting in the distance (got much closer during survey)",1,634,1,Male,Adult,4,NA,Singing,Singing,NA,heard song from a long way away,2023-06-08,6H 14M 0S,2728,159,2023,2023-06-08T12:30:09Z,44
635,1,Singing,23_2_1121,1121,429,ATC,6/9/2023,08:37:00,3.1,65.4,Mostly cloudy,65.7,91.6,0,"grass seed, clover and mustard fields, large tree right next to point, people firing at gun range in the distance",1,635,1,Male,Adult,4,Singing,Singing,NA,NA,heard from a distance in the clover field,2023-06-09,8H 37M 0S,1121,160,2023,2023-06-09T12:29:53Z,188.00000000000003
