"SurveyEvent_Survey_Event_ID","Site_ID","Observer","Survey_Date","Survey_Time","Wind","Temp","Sky_Code","Avg_Noise","Max_Noise","OVSP?","Site_Comments","Number_Detected","SurveyDetail_Survey_Event_ID","Lark_ID","Individual_ID","Sex","Age","Distance Band","Interval_1","Interval_2","Interval_3","Interval_4","Notes"
24,"3062","MLG","6/10/2022","5:40:00 AM",3.00,61.30,"2",40.20,71.00,0,"Elevated road with tall grass on both sides, 4m of bare gravel/dirt ditch on either side of the road. Other species noted: WEME, SASP, NOHA, RWBL, MAKE",4,24,11,2,"M","A","2","X","X","S","X",
24,"3062","MLG","6/10/2022","5:40:00 AM",3.00,61.30,"2",40.20,71.00,0,"Elevated road with tall grass on both sides, 4m of bare gravel/dirt ditch on either side of the road. Other species noted: WEME, SASP, NOHA, RWBL, MAKE",4,24,12,3,"F","A","2","X","X","V","C",
24,"3062","MLG","6/10/2022","5:40:00 AM",3.00,61.30,"2",40.20,71.00,0,"Elevated road with tall grass on both sides, 4m of bare gravel/dirt ditch on either side of the road. Other species noted: WEME, SASP, NOHA, RWBL, MAKE",4,24,13,4,"M","A","2","X","X","X","S",
25,"3088","MLG","6/10/2022","6:43:00 AM",1.00,62.20,"2",10.70,50.60,0,"Park at the fir tree standing by itself and walk south to point. Stubble field with trees and tall grass northeast of point and tall grass on the other side. Other species noted: WCSP, KILL, COYE",0,,,,,,,,,,,
26,"3078","MLG","6/10/2022","7:48:00 AM",3.10,65.50,"2",14.10,34.60,0,"Tall grass on both sides of gravel road with mowed edges",0,,,,,,,,,,,
27,"2071","MLG","6/13/2022","5:45:00 AM",1.20,54.50,"2",29.00,74.00,0,"200 yds of bare ground on west side of point across from a barn. Park between power pole and 40mph sign.",0,,,,,,,,,,,
28,"2087","MLG","6/13/2022","6:15:00 AM",1.50,56.20,"2",39.80,67.00,0,"Bare gravel ditch with some water on both sides of the road, 2m tall grass.",0,,,,,,,,,,,
29,"2079","MLG","6/13/2022","6:36:00 AM",2.40,53.80,"2",51.20,67.00,0,"Gravel road with grass on northwest side, filberts to east.",0,,,,,,,,,,,
30,"2031","MLG","6/13/2022","7:01:00 AM",3.50,52.10,"2",40.20,61.00,0,"tall grass fields on both sides, gravel shoulder",0,,,,,,,,,,,
31,"2053","MLG","6/13/2022","7:29:00 AM",5.60,50.90,"4",67.90,99.00,0,"Park in gravel pullout north of point. Diamond hill wetlands to northeast, stubble field to south. Field is pretty wet after the rain. Other species noted: 12 KILL, 5 BAEA",2,31,14,1,"M","A","2","X","S","V","S",
31,"2053","MLG","6/13/2022","7:29:00 AM",5.60,50.90,"4",67.90,99.00,0,"Park in gravel pullout north of point. Diamond hill wetlands to northeast, stubble field to south. Field is pretty wet after the rain. Other species noted: 12 KILL, 5 BAEA",2,31,15,2,"M","A","3","X","X","S","S",
32,"2043","MLG","6/13/2022","8:06:00 AM",1.10,51.90,"4",59.00,81.00,0,"Tall grass on both sides of the point, bare shoulder. Park after line of trees south east of point. It started raining hard at interval 2.",0,,,,,,,,,,,
33,"2059","MLG","6/13/2022","8:17:00 AM",2.80,59.60,"2",55.90,84.00,0,"Point by a house. Tall grass fields on both sides of the road, ditch with running water to the west. Lark singing from bare dirt next to water, out of view due to grass. BAEA in the snag",1,33,16,1,"M","A","2","S","X","C","C",
34,"2005","MLG","6/13/2022","9:05:00 AM",1.20,61.50,"2",50.20,79.00,0,"Freshly plowed fields on both sides of the point surrounded by large fruit tree orchards. Fields <200m wide. Other species noted: CHSP, AMGO, LEGO, YEWA, CEDW, RTHA, COHA, ECDO, WEWP",0,,,,,,,,,,,
35,"3021","MLG","6/14/2022","5:50:00 AM",0.00,56.00,"2",61.50,79.00,0,"Gravel shoulder. Trees on west side, fenced grassy field east with a pond. Lots of other birds singing",0,,,,,,,,,,,
36,"3037","MLG","6/14/2022","6:09:00 AM",0.00,57.00,"2",60.30,80.00,0,"Gravel road w/ tall grass on both sides, line of trees to the south",0,,,,,,,,,,,
37,"3083","MLG","6/14/2022","6:40:00 AM",0.00,57.40,"4",81.00,102.00,0,"In front of a house, there are trees on both sides but bare shoulder with tall grass or clover fields beyond trees",0,,,,,,,,,,,
38,"3010","MLG","6/14/2022","7:09:00 AM",2.20,54.20,"4",66.50,90.00,0,"Gravel road with trees along the fence to east of point, short but dense meadowfoam in the west side",1,38,17,1,"U","A","2","X","C","X","X","In flight"
39,"3054","MLG","6/14/2022","7:23:00 AM",2.00,52.70,"2",44.40,67.00,0,"Gravel road. Tall trees on north side, grass field on south side. Sky code to 4 by end of survey.",0,,,,,,,,,,,
40,"3091","MLG","6/14/2022","8:00:00 AM",2.10,57.80,"4",49.90,70.00,0,"Gravel road with vineyard on both sides. Short to high greass on roadside. Before the survey, SHLA were flushed further up the road. Sunny but also drizzling. Other species: TUVU, CHSP, WCSP, MAKE, AMRO, BHGR, RUHU",1,40,18,1,"M","A","3","X","S","X","X",
41,"3001","MLG","6/14/2022","8:44:00 AM",4.70,55.90,"2",70.50,89.00,0,"Grass cattle pasture west of point with some bare patches. Horse pasture on east side. Low grass and gravel on roadside. Other species: CHSP, BUOR, BHGR, BRBL",0,,,,,,,,,,,
42,"3003","MLG","6/16/2022","5:42:00 AM",0.00,56.50,"2",39.00,59.00,0,"Mowed shoulder. ~3m berm on east side blocking view of a gravel road. Hedge and trees to the west.",2,42,19,1,"M","A","3","X","S","S","X",
42,"3003","MLG","6/16/2022","5:42:00 AM",0.00,56.50,"2",39.00,59.00,0,"Mowed shoulder. ~3m berm on east side blocking view of a gravel road. Hedge and trees to the west.",2,42,20,2,"M","A","2","X","X","S","S",
43,"3046","MLG","6/16/2022","5:57:00 AM",0.00,56.90,"4",59.40,90.00,0,,0,,,,,,,,,,,
44,"3069","MLG","6/16/2022","6:22:00 AM",1.50,54.20,"2",81.40,101.00,0,"Point near a 3 way intersection. 3 tall grass fields, some bare spots on roadside. Mowed shoulder. Lark did aerial display for 2 minutes before landing near my car at gravel field entrance.",2,44,21,1,"M","A","1","V","V","V","S","feeding on ground before Skylarking behavior"
44,"3069","MLG","6/16/2022","6:22:00 AM",1.50,54.20,"2",81.40,101.00,0,"Point near a 3 way intersection. 3 tall grass fields, some bare spots on roadside. Mowed shoulder. Lark did aerial display for 2 minutes before landing near my car at gravel field entrance.",2,44,22,2,"M","A","2","X","X","S","S","Countersinging with male 1"
45,"3072","MLG","6/16/2022","6:50:00 AM",2.00,57.50,"1",76.60,101.00,0,"Grass fields on both sides of the road. Gravel shoulder and bare ground inside fences. Other species: NOHA, AMGO, SASP, BAEA, WEWP, SOSP",1,45,23,1,"U","A","4","X","X","X","V","Bounding flight, black retricies"
46,"3019","MLG","6/16/2022","7:11:00 AM",3.10,57.20,"1",62.30,84.00,0,"Cow pasture south of point, grassy slope with small trees to north. Line of big trees to northwest. Mowed shoulder and a gravel road going up the slope. Other species: LABU, WASW, TRSW,VGSW, BUSH,BLPH,WEWP, ACWO, HOWR",0,,,,,,,,,,,
47,"3030","MLG","6/16/2022","7:28:00 AM",4.20,57.80,"2",70.30,94.00,0,"Mowed shoulder, berm to north, grass fields to south. Coburg hunting club. Other species: COYE, YEWA, SOSP, RWBL, BRBL, CAQU, CLSW",0,,,,,,,,,,,
48,"2021","MLG","6/16/2022","8:10:00 AM",3.10,56.70,"2",79.70,99.00,0,"Park behind rexius sign at intersection. Grass fields on both sides, not many bare areas. Busy crossroad, very little shoulder",0,,,,,,,,,,,
49,"2037","MLG","6/16/2022","8:31:00 AM",5.80,58.40,"2",82.50,103.00,0,"Buildings and parking lots to north and southeast of point within 200m, grass field to west and east. Gravel shoulder. Cant hear much over the wood mill",0,,,,,,,,,,,
50,"2049","MLG","6/16/2022","8:52:00 AM",2.50,57.60,"2",73.40,94.00,0,"Houses east of point, park near smucker's seed sign.",0,,,,,,,,,,,
51,"2010","MLG","6/16/2022","9:06:00 AM",1.40,59.20,"2",71.90,93.00,0,"House to northeast, line of trees to west. Tall grass fields on both sides, gravel shoulder",0,,,,,,,,,,,
52,"2075","MLG","6/16/2022","9:27:00 AM",2.40,61.80,"2",69.50,101.00,0,"Tall grass field to west, houses to east",1,52,24,1,"M","A","3","X","X","S","S",
53,"3031","BMW","6/16/2022","9:27:00 AM",1.70,66.00,"2",50.00,108.00,0,"Hazelnuts (4-5ft tall) on one side, grass field and cows on the other side. Near Corvallis airport.",0,,,,,,,,,,,
54,"3015","BMW","6/16/2022","9:00:00 AM",5.00,64.00,"2",51.00,97.00,0,"Tall grass field on one side, wide gravel rd, some grass field and trees (oaks) on the other side. No traffic, noise level was quiet but I think my phone was picking up the wind.",0,,,,,,,,,,,
55,"3051","BMW","6/16/2022","6:34:00 AM",0.00,61.50,"2",28.00,59.00,0,"One bare dirt field in one corner, one tall spinach seed field, and some grass with trees in the background. Seems like coordinates a little further from trees would get more suitable habitat. Bullock's Orioles calling from trees.",0,,,,,,,,,,,
56,"3023","BMW","6/16/2022","6:05:00 AM",0.00,64.00,"2",37.00,69.00,0,"Farm and hazelnuts on one side. Field of grass on other. Maybe not quite 50% suitable, but there is a section of wide open gravel road and a big field.",0,,,,,,,,,,,
57,"3009","BMW","6/16/2022","5:32:00 AM",2.20,61.00,"2",71.00,115.00,0,"Hwy 99w, very noisy, even @ 5:30am, only a few breaks in traffic where I could hear well. Blueberries with some open ground around them. Open fields on the other side, but broken up by hedge rows. Debatable about keeping, see pictures in google drive folder.",0,,,,,,,,,,,
58,"3080","BMW","6/16/2022","7:00:00 AM",2.30,56.00,"2",38.00,91.00,0,"Right in front of some big ag buildings (see photos in google drive folder), but fields to the sides with some trees. Fields are wheat and grass.",0,,,,,,,,,,,
59,"3047","BMW","6/16/2022","7:22:00 AM",2.70,56.50,"2",77.00,110.00,0,"Hwy 99w, very noisy at times, especially because a row of trees on each side of the road seem to funnel and amplify the sound. Half hazelnuts, half wheat fields, but with 10-12ft hedge of trees. Hard to hear much.",0,,,,,,,,,,,
60,"3014","BMW","6/16/2022","7:55:00 AM",4.00,61.50,"2",57.00,100.00,0,"Tall grass fields on both sides of the road. House and equipment nearby. Fields surrounded by trees on the outskirts, but mostly fields.",0,,,,,,,,,,,
61,"3043","BMW","6/16/2022","8:18:00 AM",1.90,62.00,"2",39.00,99.00,0,"Grass field both sides of the road. Some hedgerows breaking up the fields. Some lower, wet grass on one side. Heard a Lazuli Bunting singing here.",0,,,,,,,,,,,
62,"2026","MLG","6/18/2022","5:31:00 AM",0.00,50.20,"2",81.50,104.00,0,"Busy road. Houses and trees to west, grass field to east. Gravel shoulder.",0,,,,,,,,,,,
63,"2007","MLG","6/18/2022","5:51:00 AM",0.00,51.20,"2",45.20,68.00,0,"Slightley less that 50% forested within 200m buffer. Trees to south, grass field to north. Gravel shoulder. Other species: MODO, SOSP, RNPH, CEDW",0,,,,,,,,,,,
64,"2039","MLG","6/18/2022","6:10:00 AM",2.30,51.90,"2",48.60,69.00,0,"Paved road, grass fields on all sides. Gravel shoulder",0,,,,,,,,,,,
65,"2062","MLG","6/18/2022","6:31:00 AM",1.20,51.90,"2",47.60,68.00,0,"Tall grass field to west, mowed grass to east with bare/wet patches. Gravel shoulder",4,65,25,1,"M","A","2","C","S","C","X",
65,"2062","MLG","6/18/2022","6:31:00 AM",1.20,51.90,"2",47.60,68.00,0,"Tall grass field to west, mowed grass to east with bare/wet patches. Gravel shoulder",4,65,26,2,"M","A","3","S","S","X","X",
65,"2062","MLG","6/18/2022","6:31:00 AM",1.20,51.90,"2",47.60,68.00,0,"Tall grass field to west, mowed grass to east with bare/wet patches. Gravel shoulder",4,65,27,3,"M","A","2","X","X","X","V",
65,"2062","MLG","6/18/2022","6:31:00 AM",1.20,51.90,"2",47.60,68.00,0,"Tall grass field to west, mowed grass to east with bare/wet patches. Gravel shoulder",4,65,28,4,"F","A","2","X","X","X","V","Feeding near male 3"
66,"2046","MLG","6/18/2022","6:50:00 AM",2.30,53.30,"4",63.30,90.00,0,"On a bit of a hill. Grass fields on both sides, gravel shoulder and bare margin. Some very curious cows
Other species: NOHA, CLSW, PEFA (with prey), MODO",0,,,,,,,,,,,
67,"2036","MLG","6/18/2022","7:12:00 AM",2.20,52.70,"2",74.40,100.00,0,"Tall grass fields on both sides, gravel shoulder + bare field margins. Sheep grazing south field, filberts to south east past intersection",0,,,,,,,,,,,
68,"2063","MLG","6/18/2022","7:33:00 AM",5.00,54.20,"2",52.40,75.00,0,"Tall grass fields on both sides. Gravel shoulder with some short grass. Water in the ditch",0,,,,,,,,,,,
69,"2052","MLG","6/18/2022","7:54:00 AM",3.70,54.50,"4",59.80,80.00,0,"Tall grass fields on both sides of paved road. Steep shoulder/ditch with mowed grass",0,,,,,,,,,,,
70,"2027","MLG","6/18/2022","8:31:00 AM",6.00,54.60,"2",76.60,100.00,0,"Tall grass fields on both sides. Steep gravel shoulder, ditch with water. On a curve, somewhat busy road",0,,,,,,,,,,,
71,"2082","MLG","6/19/2022","5:38:00 AM",0.00,56.60,"2",58.30,81.00,0,"Grass field across fro a house with trees. Dairy to the north.
Other species: CAQU, YEWA, BHCO, SPTO, BHGR, HOWR, BLPH, BRBL, SWTH, RUHU, CEDW, BRCR",0,,,,,,,,,,,
72,"2044","MLG","6/19/2022","5:56:00 AM",0.00,56.40,"2",51.10,76.00,0,"Ankeny NWR. Tall trees bordering the road, tall grass beyond on both sides.
Other species: SWTH, CAQU, MODO, SPTO, AMRO, AMCR, CORA, CASJ, SOSP, DOWO",0,,,,,,,,,,,
73,"2056","MLG","6/19/2022","6:15:00 AM",0.00,56.30,"2",59.10,78.00,0,"Grassy shoulder. Tall trees along the road to the northwest, tall grass field to southeast. Mowed lawn beyond trees.
Other species: AMRO, CASJ, SOSP, SPTO, TRSW, CLSW, BASW, WEWP, EUCD, BRCR",0,,,,,,,,,,,
74,"2028","MLG","6/19/2022","6:32:00 AM",0.00,55.90,"2",59.50,89.00,0,"Creek with tall trees on the edge northwest of point, grass fields on both sides to the southwest
Other species: WODU, SWTH, AMRO, AMGO, CEDW, BHGR, EUST, MODO, MALL",0,,,,,,,,,,,
75,"3084","MLG","6/19/2022","7:01:00 AM",1.00,56.80,"4",60.50,85.00,0,"Trees and a pond to the north, grass field to the south. Narrow gravel shoulder.
Other species: SOSP, WCSP, SPTO, RUHU, BAEA, BEWR, SASP, SWTH, AMGO",0,,,,,,,,,,,
76,"3070","MLG","6/19/2022","7:16:00 AM",0.00,55.40,"4",71.00,104.00,0,"Short cornfield to south, tall grass to north. Narrow gravel shoulder/ditch. Horse pasture to southeast.
Other species: BASW, WCSP, PUMA, MAKE",0,,,,,,,,,,,
77,"3016","MLG","6/19/2022","7:36:00 AM",0.00,55.70,"2",31.70,56.00,0,"Grass fields on both sides, gravel shoulder. Trees <200m to the east
Other species: HOWR, SASP, KILL, RTHA, SOSP",0,,,,,,,,,,,
78,"3044","MLG","6/19/2022","7:58:00 AM",0.00,57.20,"2",43.10,66.00,0,"Bare or short/new grass fields on both sides, shrubby creek between fields.
Other species: BHCO, COYE, SOSP, KILL, ANHU, BASW, VGSW,TRSW",0,,,,,,,,,,,
79,"3053","MLG","6/19/2022","8:21:00 AM",1.40,56.90,"2",67.10,90.00,0,"Farm on south side with guard dog, very small squash in field to north. Gravel shoulder with hay and some grass.
Other species: WCSP, BRBL, EUCD, CLSW, CORA, KILL",0,,,,,,,,,,,
80,"3090","MLG","6/19/2022","8:38:00 AM",1.00,57.70,"2",88.10,104.00,0,"Busy road. Tall grass to east, tilled stubble to west.
hundreds of starlings",0,,,,,,,,,,,
81,"2084","MLG","6/19/2022","9:17:00 AM",0.00,57.40,"2",53.60,76.00,0,"Houses on north side of point, small tall grass field on south side with filberts beyond. Lots of tall trees surrounding point but not more than 50% within the 200m buffer.
Other species: AMRO, WEWP, EUCD, VGSW, BHGR, CEDW, LABU, NRWS, WASW, CLSW, BUOR",0,,,,,,,,,,,
82,"2001","MLG","6/20/2022","5:36:00 AM",0.00,44.00,"0",74.30,97.00,0,"Busy road. Houses and nursery on south side, wheat field to north. Line of tall trees to east with very little bare ground.
Other species: SPTO, LABU, SOSP, HOFI",0,,,,,,,,,,,
83,"2017","MLG","6/20/2022","5:54:00 AM",0.80,47.10,"0",53.20,64.00,0,"Tall grass fields and unmowed shoulders on both sides. Very little bare ground besides field entrances. Ground fog.
Other species: RWBL, SASP, BHCO, KILL",0,,,,,,,,,,,
84,"2033","MLG","6/20/2022","6:11:00 AM",0.00,47.40,"0",47.30,69.00,0,"Tall grass fields on both sides, houses, <200m on west side. Grass up to the road. Ground fog
Other speciesL HOFI, RWBL, RTHA, KILL, EUCD, AMRO",0,,,,,,,,,,,
85,"2022","MLG","6/20/2022","6:40:00 AM",1.50,51.40,"2",57.70,78.00,0,"Grass fields on both sides. Creek with shrubs to west, bare areas along fence margin, grassy shoulder.
Other species: BRBL, RWBL, AMRO, SASP, KILL, COYE, AMGO, BASW",0,,,,,,,,,,,
86,"2041","MLG","6/20/2022","7:05:00 AM",1.50,52.70,"2",73.00,94.00,0,"Filberts (<1.5m tall on east side with mostly bare ground underneath, tall grass field on west side. Gravel shoulder.",3,86,29,1,"M","A","2","X","X","S","S",
86,"2041","MLG","6/20/2022","7:05:00 AM",1.50,52.70,"2",73.00,94.00,0,"Filberts (<1.5m tall on east side with mostly bare ground underneath, tall grass field on west side. Gravel shoulder.",3,86,30,2,"M","A","2","X","X","X","S",
86,"2041","MLG","6/20/2022","7:05:00 AM",1.50,52.70,"2",73.00,94.00,0,"Filberts (<1.5m tall on east side with mostly bare ground underneath, tall grass field on west side. Gravel shoulder.",3,86,31,3,"M","A","1","X","X","X","S",
87,"3052","MLG","6/20/2022","7:35:00 AM",1.40,53.10,"2",41.20,57.00,0,"1m tall filberts on west side with somewhat tilled bare ground underneath. Tall grass to the east. Bare shouler.
Other species: RTHA, KILL",0,,,,,,,,,,,
88,"3055","MLG","6/20/2022","8:00:00 AM",0.00,59.40,"2",75.20,92.00,0,"Tall grass on south side, mowed lawn on north side. Line of trees to northeast. Grass up to pavement.
Other species: BCCH, RTHA, SPTO, CHSP, DEJU, WEWP, HOWR, CORA, COYE, AMCR, BTPI",0,,,,,,,,,,,
89,"3027","MLG","6/20/2022","8:24:00 AM",1.70,58.90,"2",63.10,91.00,0,"Trees and golfcourse on west side, grass field on east. Berm blocking view. Somewhat blind curve/hill
Other species: CHSP, MODO, RBSA, WEWP, TUVU",0,,,,,,,,,,,
90,"3004","MLG","6/20/2022","8:42:00 AM",0.50,60.20,"2",72.50,94.00,0,"Grass fields on both sides, multiple lines of tall trees west and directly to the sides of the point. Gravel and grass shoulder, steep ditch on south side.
Other species: BCCH, TUVU, BHGR, WEWP, YEWA, HOFI, AMGO, BHCO, SPTO",0,,,,,,,,,,,
91,"3022","MLG","6/22/2022","5:41:00 AM",1.10,54.60,"0",41.50,67.00,0,"Clover on south side, tall grass on the north side. Trees ~100m to west. Gravel road. Bare spot with some water to the southeast, lots of killdeer in it. Also a skunk burrow near the road.",1,91,32,1,"M","A","2","X","S","C","C",
92,"3065","MLG","6/22/2022","5:57:00 AM",1.30,55.10,"0",51.50,86.00,0,"Fallow field to the north, tall grass field to the south. Gravel road. 
Other species: CORA, SASP, WCSP, KILL, CLSW",2,92,33,1,"M","A","2","X","X","X","V",
92,"3065","MLG","6/22/2022","5:57:00 AM",1.30,55.10,"0",51.50,86.00,0,"Fallow field to the north, tall grass field to the south. Gravel road. 
Other species: CORA, SASP, WCSP, KILL, CLSW",2,92,34,2,"F","A","2","X","X","X","V",
93,"3034","MLG","6/22/2022","6:19:00 AM",0.00,56.20,"0",34.90,59.00,0,"Near 2 houses to west, tall grass field with mowed border to east. More tall grass to west behind the houses.
Other species: CORA, WCSP, BHCO, BRBL, MAKE",0,,,,,,,,,,,
94,"3033","MLG","6/22/2022","6:38:00 AM",2.40,58.20,"0",48.70,63.00,0,"Blackberry hedge and berm on south side of gravel road, downhill grass field to north.
Other species: COYE, NOFL, SPTO, SOSP, SASP, CORA",0,,,,,,,,,,,
95,"3017","MLG","6/22/2022","6:58:00 AM",3.90,60.90,"0",69.40,93.00,0,"3 foot high xmas trees on both sides, tall grass to southeast. On a curve of busy road.
Other species: WCSP, YEWA, KILL, NOHA",3,95,35,1,"M","A","2","S","S","X","X",
95,"3017","MLG","6/22/2022","6:58:00 AM",3.90,60.90,"0",69.40,93.00,0,"3 foot high xmas trees on both sides, tall grass to southeast. On a curve of busy road.
Other species: WCSP, YEWA, KILL, NOHA",3,95,36,2,"M","A","2","X","S","X","X",
95,"3017","MLG","6/22/2022","6:58:00 AM",3.90,60.90,"0",69.40,93.00,0,"3 foot high xmas trees on both sides, tall grass to southeast. On a curve of busy road.
Other species: WCSP, YEWA, KILL, NOHA",3,95,37,3,"M","A","3","X","X","X","S",
96,"3071","MLG","6/22/2022","7:16:00 AM",2.70,62.00,"0",74.90,91.00,0,"Short xmas trees to east, >1m tall ones to west. Narrow gravel shoulder, some bare ground
Other species: HOFI, HOWR, WCSP",3,96,38,1,"M","A","2","S","X","X","X",
96,"3071","MLG","6/22/2022","7:16:00 AM",2.70,62.00,"0",74.90,91.00,0,"Short xmas trees to east, >1m tall ones to west. Narrow gravel shoulder, some bare ground
Other species: HOFI, HOWR, WCSP",3,96,39,2,"M","A","3","S","X","X","X",
96,"3071","MLG","6/22/2022","7:16:00 AM",2.70,62.00,"0",74.90,91.00,0,"Short xmas trees to east, >1m tall ones to west. Narrow gravel shoulder, some bare ground
Other species: HOFI, HOWR, WCSP",3,96,40,3,"M","A","2","X","S","X","C",
97,"3079","MLG","6/22/2022","7:34:00 AM",1.80,62.50,"0",51.90,67.00,0,"Tall grass fields on both sides of gravel road. Bare spot at the bottom of the hill to northwest.
Other species: BASW, SASP, WEWP, HOFI, BHGR, MODO, SOSP, SWTH, BEWR, CEDW, BRBL, LEGO",0,,,,,,,,,,,
